case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_hwp_close-000000	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/법제처/2016/mcp-hwp-close-000000.hwp	법제처	2016	hwp	0	0	0	
w2_mcp_hwp_close-000001	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/행정안전부/2016/mcp-hwp-close-000001.hwpx	행정안전부	2016	hwpx	0	0	3	
w2_mcp_hwp_close-000002	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/국세청/2016/mcp-hwp-close-000002.hwp	국세청	2016	hwp	1	1	0	
w2_mcp_hwp_close-000003	mcp-hwp-close	lease	LEASE_OK	samples/wave2/대법원/2016/mcp-hwp-close-000003.hwpx	대법원	2016	hwpx	1	0	0	
w2_mcp_hwp_close-000004	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/특허청/2016/mcp-hwp-close-000004.hwp	특허청	2016	hwp	1	0	1	
w2_mcp_hwp_close-000005	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/교육부/2016/mcp-hwp-close-000005.hwpx	교육부	2016	hwpx	1	0	2	
w2_mcp_hwp_close-000006	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/보건복지부/2016/mcp-hwp-close-000006.hwp	보건복지부	2016	hwp	1	0	9	
w2_mcp_hwp_close-000007	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/국토교통부/2016/mcp-hwp-close-000007.hwpx	국토교통부	2016	hwpx	0	0	0	
w2_mcp_hwp_close-000008	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/고용노동부/2016/mcp-hwp-close-000008.hwp	고용노동부	2016	hwp	0	0	3	
w2_mcp_hwp_close-000009	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/외교부/2016/mcp-hwp-close-000009.hwpx	외교부	2016	hwpx	1	1	0	
w2_mcp_hwp_close-000010	mcp-hwp-close	lease	LEASE_OK	samples/wave2/기획재정부/2016/mcp-hwp-close-000010.hwp	기획재정부	2016	hwp	1	0	0	
w2_mcp_hwp_close-000011	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/공정거래위원회/2016/mcp-hwp-close-000011.hwpx	공정거래위원회	2016	hwpx	1	0	1	
w2_mcp_hwp_close-000012	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/금융위원회/2016/mcp-hwp-close-000012.hwp	금융위원회	2016	hwp	1	0	2	
w2_mcp_hwp_close-000013	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/통계청/2016/mcp-hwp-close-000013.hwpx	통계청	2016	hwpx	1	0	9	
w2_mcp_hwp_close-000014	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/기상청/2016/mcp-hwp-close-000014.hwp	기상청	2016	hwp	0	0	0	
w2_mcp_hwp_close-000015	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/관세청/2016/mcp-hwp-close-000015.hwpx	관세청	2016	hwpx	0	0	3	
w2_mcp_hwp_close-000016	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/검찰청/2016/mcp-hwp-close-000016.hwp	검찰청	2016	hwp	1	1	0	
w2_mcp_hwp_close-000017	mcp-hwp-close	lease	LEASE_OK	samples/wave2/경찰청/2016/mcp-hwp-close-000017.hwpx	경찰청	2016	hwpx	1	0	0	
w2_mcp_hwp_close-000018	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/소방청/2016/mcp-hwp-close-000018.hwp	소방청	2016	hwp	1	0	1	
w2_mcp_hwp_close-000019	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/병무청/2016/mcp-hwp-close-000019.hwpx	병무청	2016	hwpx	1	0	2	
w2_mcp_hwp_close-000020	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/산림청/2016/mcp-hwp-close-000020.hwp	산림청	2016	hwp	1	0	9	
w2_mcp_hwp_close-000021	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/중소벤처기업부/2016/mcp-hwp-close-000021.hwpx	중소벤처기업부	2016	hwpx	0	0	0	
w2_mcp_hwp_close-000022	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/과학기술정보통신부/2016/mcp-hwp-close-000022.hwp	과학기술정보통신부	2016	hwp	0	0	3	
w2_mcp_hwp_close-000023	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/문화체육관광부/2016/mcp-hwp-close-000023.hwpx	문화체육관광부	2016	hwpx	1	1	0	
w2_mcp_hwp_close-000024	mcp-hwp-close	lease	LEASE_OK	samples/wave2/환경부/2016/mcp-hwp-close-000024.hwp	환경부	2016	hwp	1	0	0	
w2_mcp_hwp_close-000025	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/해양수산부/2016/mcp-hwp-close-000025.hwpx	해양수산부	2016	hwpx	1	0	1	
w2_mcp_hwp_close-000026	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/서울특별시/2016/mcp-hwp-close-000026.hwp	서울특별시	2016	hwp	1	0	2	
w2_mcp_hwp_close-000027	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/경기도/2016/mcp-hwp-close-000027.hwpx	경기도	2016	hwpx	1	0	9	
w2_mcp_hwp_close-000028	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/부산광역시/2016/mcp-hwp-close-000028.hwp	부산광역시	2016	hwp	0	0	0	
w2_mcp_hwp_close-000029	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/제주특별자치도/2016/mcp-hwp-close-000029.hwpx	제주특별자치도	2016	hwpx	0	0	3	
w2_mcp_hwp_close-000030	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/법제처/2017/mcp-hwp-close-000030.hwp	법제처	2017	hwp	1	1	0	
w2_mcp_hwp_close-000031	mcp-hwp-close	lease	LEASE_OK	samples/wave2/행정안전부/2017/mcp-hwp-close-000031.hwpx	행정안전부	2017	hwpx	1	0	0	
w2_mcp_hwp_close-000032	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/국세청/2017/mcp-hwp-close-000032.hwp	국세청	2017	hwp	1	0	1	
w2_mcp_hwp_close-000033	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/대법원/2017/mcp-hwp-close-000033.hwpx	대법원	2017	hwpx	1	0	2	
w2_mcp_hwp_close-000034	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/특허청/2017/mcp-hwp-close-000034.hwp	특허청	2017	hwp	1	0	9	
w2_mcp_hwp_close-000035	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/교육부/2017/mcp-hwp-close-000035.hwpx	교육부	2017	hwpx	0	0	0	
w2_mcp_hwp_close-000036	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/보건복지부/2017/mcp-hwp-close-000036.hwp	보건복지부	2017	hwp	0	0	3	
w2_mcp_hwp_close-000037	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/국토교통부/2017/mcp-hwp-close-000037.hwpx	국토교통부	2017	hwpx	1	1	0	
w2_mcp_hwp_close-000038	mcp-hwp-close	lease	LEASE_OK	samples/wave2/고용노동부/2017/mcp-hwp-close-000038.hwp	고용노동부	2017	hwp	1	0	0	
w2_mcp_hwp_close-000039	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/외교부/2017/mcp-hwp-close-000039.hwpx	외교부	2017	hwpx	1	0	1	
w2_mcp_hwp_close-000040	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/기획재정부/2017/mcp-hwp-close-000040.hwp	기획재정부	2017	hwp	1	0	2	
w2_mcp_hwp_close-000041	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/공정거래위원회/2017/mcp-hwp-close-000041.hwpx	공정거래위원회	2017	hwpx	1	0	9	
w2_mcp_hwp_close-000042	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/금융위원회/2017/mcp-hwp-close-000042.hwp	금융위원회	2017	hwp	0	0	0	
w2_mcp_hwp_close-000043	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/통계청/2017/mcp-hwp-close-000043.hwpx	통계청	2017	hwpx	0	0	3	
w2_mcp_hwp_close-000044	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/기상청/2017/mcp-hwp-close-000044.hwp	기상청	2017	hwp	1	1	0	
w2_mcp_hwp_close-000045	mcp-hwp-close	lease	LEASE_OK	samples/wave2/관세청/2017/mcp-hwp-close-000045.hwpx	관세청	2017	hwpx	1	0	0	
w2_mcp_hwp_close-000046	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/검찰청/2017/mcp-hwp-close-000046.hwp	검찰청	2017	hwp	1	0	1	
w2_mcp_hwp_close-000047	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/경찰청/2017/mcp-hwp-close-000047.hwpx	경찰청	2017	hwpx	1	0	2	
w2_mcp_hwp_close-000048	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/소방청/2017/mcp-hwp-close-000048.hwp	소방청	2017	hwp	1	0	9	
w2_mcp_hwp_close-000049	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/병무청/2017/mcp-hwp-close-000049.hwpx	병무청	2017	hwpx	0	0	0	
w2_mcp_hwp_close-000050	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/산림청/2017/mcp-hwp-close-000050.hwp	산림청	2017	hwp	0	0	3	
w2_mcp_hwp_close-000051	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/중소벤처기업부/2017/mcp-hwp-close-000051.hwpx	중소벤처기업부	2017	hwpx	1	1	0	
w2_mcp_hwp_close-000052	mcp-hwp-close	lease	LEASE_OK	samples/wave2/과학기술정보통신부/2017/mcp-hwp-close-000052.hwp	과학기술정보통신부	2017	hwp	1	0	0	
w2_mcp_hwp_close-000053	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/문화체육관광부/2017/mcp-hwp-close-000053.hwpx	문화체육관광부	2017	hwpx	1	0	1	
w2_mcp_hwp_close-000054	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/환경부/2017/mcp-hwp-close-000054.hwp	환경부	2017	hwp	1	0	2	
w2_mcp_hwp_close-000055	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/해양수산부/2017/mcp-hwp-close-000055.hwpx	해양수산부	2017	hwpx	1	0	9	
w2_mcp_hwp_close-000056	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/서울특별시/2017/mcp-hwp-close-000056.hwp	서울특별시	2017	hwp	0	0	0	
w2_mcp_hwp_close-000057	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/경기도/2017/mcp-hwp-close-000057.hwpx	경기도	2017	hwpx	0	0	3	
w2_mcp_hwp_close-000058	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/부산광역시/2017/mcp-hwp-close-000058.hwp	부산광역시	2017	hwp	1	1	0	
w2_mcp_hwp_close-000059	mcp-hwp-close	lease	LEASE_OK	samples/wave2/제주특별자치도/2017/mcp-hwp-close-000059.hwpx	제주특별자치도	2017	hwpx	1	0	0	
w2_mcp_hwp_close-000060	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/법제처/2018/mcp-hwp-close-000060.hwp	법제처	2018	hwp	1	0	1	
w2_mcp_hwp_close-000061	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/행정안전부/2018/mcp-hwp-close-000061.hwpx	행정안전부	2018	hwpx	1	0	2	
w2_mcp_hwp_close-000062	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/국세청/2018/mcp-hwp-close-000062.hwp	국세청	2018	hwp	1	0	9	
w2_mcp_hwp_close-000063	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/대법원/2018/mcp-hwp-close-000063.hwpx	대법원	2018	hwpx	0	0	0	
w2_mcp_hwp_close-000064	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/특허청/2018/mcp-hwp-close-000064.hwp	특허청	2018	hwp	0	0	3	
w2_mcp_hwp_close-000065	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/교육부/2018/mcp-hwp-close-000065.hwpx	교육부	2018	hwpx	1	1	0	
w2_mcp_hwp_close-000066	mcp-hwp-close	lease	LEASE_OK	samples/wave2/보건복지부/2018/mcp-hwp-close-000066.hwp	보건복지부	2018	hwp	1	0	0	
w2_mcp_hwp_close-000067	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/국토교통부/2018/mcp-hwp-close-000067.hwpx	국토교통부	2018	hwpx	1	0	1	
w2_mcp_hwp_close-000068	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/고용노동부/2018/mcp-hwp-close-000068.hwp	고용노동부	2018	hwp	1	0	2	
w2_mcp_hwp_close-000069	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/외교부/2018/mcp-hwp-close-000069.hwpx	외교부	2018	hwpx	1	0	9	
w2_mcp_hwp_close-000070	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/기획재정부/2018/mcp-hwp-close-000070.hwp	기획재정부	2018	hwp	0	0	0	
w2_mcp_hwp_close-000071	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/공정거래위원회/2018/mcp-hwp-close-000071.hwpx	공정거래위원회	2018	hwpx	0	0	3	
w2_mcp_hwp_close-000072	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/금융위원회/2018/mcp-hwp-close-000072.hwp	금융위원회	2018	hwp	1	1	0	
w2_mcp_hwp_close-000073	mcp-hwp-close	lease	LEASE_OK	samples/wave2/통계청/2018/mcp-hwp-close-000073.hwpx	통계청	2018	hwpx	1	0	0	
w2_mcp_hwp_close-000074	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/기상청/2018/mcp-hwp-close-000074.hwp	기상청	2018	hwp	1	0	1	
w2_mcp_hwp_close-000075	mcp-hwp-close	lease	LEASE_FAIL	samples/wave2/관세청/2018/mcp-hwp-close-000075.hwpx	관세청	2018	hwpx	1	0	2	
w2_mcp_hwp_close-000076	mcp-hwp-close	lease	EXIT_UNKNOWN	samples/wave2/검찰청/2018/mcp-hwp-close-000076.hwp	검찰청	2018	hwp	1	0	9	
w2_mcp_hwp_close-000077	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/경찰청/2018/mcp-hwp-close-000077.hwpx	경찰청	2018	hwpx	0	0	0	
w2_mcp_hwp_close-000078	mcp-hwp-close	lease	SESSION_CLOSED	samples/wave2/소방청/2018/mcp-hwp-close-000078.hwp	소방청	2018	hwp	0	0	3	
w2_mcp_hwp_close-000079	mcp-hwp-close	lease	LEASE_STALE	samples/wave2/병무청/2018/mcp-hwp-close-000079.hwpx	병무청	2018	hwpx	1	1	0	
w2_mcp_hwp_close-000080	mcp-hwp-close	lease	LEASE_OK	samples/wave2/산림청/2018/mcp-hwp-close-000080.hwp	산림청	2018	hwp	1	0	0	
