case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_hwp_doc_edit-005000	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/산림청/2017/mcp-hwp-doc-edit-005000.hwp	산림청	2017	hwp	1	6	6	
w2_mcp_hwp_doc_edit-005001	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/중소벤처기업부/2017/mcp-hwp-doc-edit-005001.hwpx	중소벤처기업부	2017	hwpx	1	7	7	
w2_mcp_hwp_doc_edit-005002	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2017/mcp-hwp-doc-edit-005002.hwp	과학기술정보통신부	2017	hwp	1	8	8	
w2_mcp_hwp_doc_edit-005003	mcp-hwp-doc-edit	reread	REREAD_DRIFT	samples/wave2/문화체육관광부/2017/mcp-hwp-doc-edit-005003.hwpx	문화체육관광부	2017	hwpx	1	9	10	
w2_mcp_hwp_doc_edit-005004	mcp-hwp-doc-edit	reread	NOT_EVIDENCE	samples/wave2/환경부/2017/mcp-hwp-doc-edit-005004.hwp	환경부	2017	hwp	0	1	2	
w2_mcp_hwp_doc_edit-005005	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/해양수산부/2017/mcp-hwp-doc-edit-005005.hwpx	해양수산부	2017	hwpx	1	2	2	
w2_mcp_hwp_doc_edit-005006	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/서울특별시/2017/mcp-hwp-doc-edit-005006.hwp	서울특별시	2017	hwp	1	3	3	
w2_mcp_hwp_doc_edit-005007	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/경기도/2017/mcp-hwp-doc-edit-005007.hwpx	경기도	2017	hwpx	1	4	4	
w2_mcp_hwp_doc_edit-005008	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/부산광역시/2017/mcp-hwp-doc-edit-005008.hwp	부산광역시	2017	hwp	1	5	5	
w2_mcp_hwp_doc_edit-005009	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/제주특별자치도/2017/mcp-hwp-doc-edit-005009.hwpx	제주특별자치도	2017	hwpx	1	6	6	
w2_mcp_hwp_doc_edit-005010	mcp-hwp-doc-edit	reread	REREAD_DRIFT	samples/wave2/법제처/2018/mcp-hwp-doc-edit-005010.hwp	법제처	2018	hwp	1	7	8	
w2_mcp_hwp_doc_edit-005011	mcp-hwp-doc-edit	reread	NOT_EVIDENCE	samples/wave2/행정안전부/2018/mcp-hwp-doc-edit-005011.hwpx	행정안전부	2018	hwpx	0	8	9	
w2_mcp_hwp_doc_edit-005012	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/국세청/2018/mcp-hwp-doc-edit-005012.hwp	국세청	2018	hwp	1	9	9	
w2_mcp_hwp_doc_edit-005013	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/대법원/2018/mcp-hwp-doc-edit-005013.hwpx	대법원	2018	hwpx	1	1	1	
w2_mcp_hwp_doc_edit-005014	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/특허청/2018/mcp-hwp-doc-edit-005014.hwp	특허청	2018	hwp	1	2	2	
w2_mcp_hwp_doc_edit-005015	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/교육부/2018/mcp-hwp-doc-edit-005015.hwpx	교육부	2018	hwpx	1	3	3	
w2_mcp_hwp_doc_edit-005016	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/보건복지부/2018/mcp-hwp-doc-edit-005016.hwp	보건복지부	2018	hwp	1	4	4	
w2_mcp_hwp_doc_edit-005017	mcp-hwp-doc-edit	reread	REREAD_DRIFT	samples/wave2/국토교통부/2018/mcp-hwp-doc-edit-005017.hwpx	국토교통부	2018	hwpx	1	5	6	
w2_mcp_hwp_doc_edit-005018	mcp-hwp-doc-edit	reread	NOT_EVIDENCE	samples/wave2/고용노동부/2018/mcp-hwp-doc-edit-005018.hwp	고용노동부	2018	hwp	0	6	7	
w2_mcp_hwp_doc_edit-005019	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/외교부/2018/mcp-hwp-doc-edit-005019.hwpx	외교부	2018	hwpx	1	7	7	
w2_mcp_hwp_doc_edit-005020	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/기획재정부/2018/mcp-hwp-doc-edit-005020.hwp	기획재정부	2018	hwp	1	8	8	
w2_mcp_hwp_doc_edit-005021	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/공정거래위원회/2018/mcp-hwp-doc-edit-005021.hwpx	공정거래위원회	2018	hwpx	1	9	9	
w2_mcp_hwp_doc_edit-005022	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/금융위원회/2018/mcp-hwp-doc-edit-005022.hwp	금융위원회	2018	hwp	1	1	1	
w2_mcp_hwp_doc_edit-005023	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/통계청/2018/mcp-hwp-doc-edit-005023.hwpx	통계청	2018	hwpx	1	2	2	
w2_mcp_hwp_doc_edit-005024	mcp-hwp-doc-edit	reread	REREAD_DRIFT	samples/wave2/기상청/2018/mcp-hwp-doc-edit-005024.hwp	기상청	2018	hwp	1	3	4	
w2_mcp_hwp_doc_edit-005025	mcp-hwp-doc-edit	reread	NOT_EVIDENCE	samples/wave2/관세청/2018/mcp-hwp-doc-edit-005025.hwpx	관세청	2018	hwpx	0	4	5	
w2_mcp_hwp_doc_edit-005026	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/검찰청/2018/mcp-hwp-doc-edit-005026.hwp	검찰청	2018	hwp	1	5	5	
w2_mcp_hwp_doc_edit-005027	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/경찰청/2018/mcp-hwp-doc-edit-005027.hwpx	경찰청	2018	hwpx	1	6	6	
w2_mcp_hwp_doc_edit-005028	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/소방청/2018/mcp-hwp-doc-edit-005028.hwp	소방청	2018	hwp	1	7	7	
w2_mcp_hwp_doc_edit-005029	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/병무청/2018/mcp-hwp-doc-edit-005029.hwpx	병무청	2018	hwpx	1	8	8	
w2_mcp_hwp_doc_edit-005030	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/산림청/2018/mcp-hwp-doc-edit-005030.hwp	산림청	2018	hwp	1	9	9	
w2_mcp_hwp_doc_edit-005031	mcp-hwp-doc-edit	reread	REREAD_DRIFT	samples/wave2/중소벤처기업부/2018/mcp-hwp-doc-edit-005031.hwpx	중소벤처기업부	2018	hwpx	1	1	2	
w2_mcp_hwp_doc_edit-005032	mcp-hwp-doc-edit	reread	NOT_EVIDENCE	samples/wave2/과학기술정보통신부/2018/mcp-hwp-doc-edit-005032.hwp	과학기술정보통신부	2018	hwp	0	2	3	
w2_mcp_hwp_doc_edit-005033	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/문화체육관광부/2018/mcp-hwp-doc-edit-005033.hwpx	문화체육관광부	2018	hwpx	1	3	3	
w2_mcp_hwp_doc_edit-005034	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/환경부/2018/mcp-hwp-doc-edit-005034.hwp	환경부	2018	hwp	1	4	4	
w2_mcp_hwp_doc_edit-005035	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/해양수산부/2018/mcp-hwp-doc-edit-005035.hwpx	해양수산부	2018	hwpx	1	5	5	
w2_mcp_hwp_doc_edit-005036	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/서울특별시/2018/mcp-hwp-doc-edit-005036.hwp	서울특별시	2018	hwp	1	6	6	
w2_mcp_hwp_doc_edit-005037	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/경기도/2018/mcp-hwp-doc-edit-005037.hwpx	경기도	2018	hwpx	1	7	7	
w2_mcp_hwp_doc_edit-005038	mcp-hwp-doc-edit	reread	REREAD_DRIFT	samples/wave2/부산광역시/2018/mcp-hwp-doc-edit-005038.hwp	부산광역시	2018	hwp	1	8	9	
w2_mcp_hwp_doc_edit-005039	mcp-hwp-doc-edit	reread	NOT_EVIDENCE	samples/wave2/제주특별자치도/2018/mcp-hwp-doc-edit-005039.hwpx	제주특별자치도	2018	hwpx	0	9	10	
w2_mcp_hwp_doc_edit-005040	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/법제처/2019/mcp-hwp-doc-edit-005040.hwp	법제처	2019	hwp	1	1	1	
w2_mcp_hwp_doc_edit-005041	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/행정안전부/2019/mcp-hwp-doc-edit-005041.hwpx	행정안전부	2019	hwpx	1	2	2	
w2_mcp_hwp_doc_edit-005042	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/국세청/2019/mcp-hwp-doc-edit-005042.hwp	국세청	2019	hwp	1	3	3	
w2_mcp_hwp_doc_edit-005043	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/대법원/2019/mcp-hwp-doc-edit-005043.hwpx	대법원	2019	hwpx	1	4	4	
w2_mcp_hwp_doc_edit-005044	mcp-hwp-doc-edit	reread	REREAD_OK	samples/wave2/특허청/2019/mcp-hwp-doc-edit-005044.hwp	특허청	2019	hwp	1	5	5	
w2_mcp_hwp_doc_edit-005045	mcp-hwp-doc-edit	reread	REREAD_DRIFT	samples/wave2/교육부/2019/mcp-hwp-doc-edit-005045.hwpx	교육부	2019	hwpx	1	6	7	
w2_mcp_hwp_doc_edit-005046	mcp-hwp-doc-edit	reread	NOT_EVIDENCE	samples/wave2/보건복지부/2019/mcp-hwp-doc-edit-005046.hwp	보건복지부	2019	hwp	0	7	8	
