case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_hwp_doc_export_tables-010000	mcp-hwp-doc-export-tables	dims	DIM_OK	samples/wave2/기획재정부/2019/mcp-hwp-doc-export-tables-010000.hwp	기획재정부	2019	hwp	6	2	6	2
w2_mcp_hwp_doc_export_tables-010001	mcp-hwp-doc-export-tables	dims	DIM_DRIFT	samples/wave2/공정거래위원회/2019/mcp-hwp-doc-export-tables-010001.hwpx	공정거래위원회	2019	hwpx	7	2	8	2
w2_mcp_hwp_doc_export_tables-010002	mcp-hwp-doc-export-tables	dims	DIM_DRIFT	samples/wave2/금융위원회/2019/mcp-hwp-doc-export-tables-010002.hwp	금융위원회	2019	hwp	8	3	9	4
w2_mcp_hwp_doc_export_tables-010003	mcp-hwp-doc-export-tables	dims	DIM_OK	samples/wave2/통계청/2019/mcp-hwp-doc-export-tables-010003.hwpx	통계청	2019	hwpx	9	3	9	3
w2_mcp_hwp_doc_export_tables-010004	mcp-hwp-doc-export-tables	dims	DIM_OK	samples/wave2/기상청/2019/mcp-hwp-doc-export-tables-010004.hwp	기상청	2019	hwp	10	4	10	4
w2_mcp_hwp_doc_export_tables-010005	mcp-hwp-doc-export-tables	dims	DIM_OK	samples/wave2/관세청/2019/mcp-hwp-doc-export-tables-010005.hwpx	관세청	2019	hwpx	11	4	11	4
w2_mcp_hwp_doc_export_tables-010006	mcp-hwp-doc-export-tables	dims	DIM_OK	samples/wave2/검찰청/2019/mcp-hwp-doc-export-tables-010006.hwp	검찰청	2019	hwp	12	5	12	5
w2_mcp_hwp_doc_export_tables-010007	mcp-hwp-doc-export-tables	dims	DIM_OK	samples/wave2/경찰청/2019/mcp-hwp-doc-export-tables-010007.hwpx	경찰청	2019	hwpx	13	5	13	5
w2_mcp_hwp_doc_export_tables-010008	mcp-hwp-doc-export-tables	dims	DIM_DRIFT	samples/wave2/소방청/2019/mcp-hwp-doc-export-tables-010008.hwp	소방청	2019	hwp	2	6	3	6
w2_mcp_hwp_doc_export_tables-010009	mcp-hwp-doc-export-tables	dims	DIM_DRIFT	samples/wave2/병무청/2019/mcp-hwp-doc-export-tables-010009.hwpx	병무청	2019	hwpx	3	6	4	7
w2_mcp_hwp_doc_export_tables-010010	mcp-hwp-doc-export-tables	dims	DIM_OK	samples/wave2/산림청/2019/mcp-hwp-doc-export-tables-010010.hwp	산림청	2019	hwp	4	7	4	7
