case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_hwp_doc_export_text-005000	mcp-hwp-doc-export-text	bound	BOUND_FALSE_POS	samples/wave2/산림청/2017/mcp-hwp-doc-export-text-005000.hwp	산림청	2017	hwp	60	54	1	
w2_mcp_hwp_doc_export_text-005001	mcp-hwp-doc-export-text	bound	BOUND_FALSE_POS	samples/wave2/중소벤처기업부/2017/mcp-hwp-doc-export-text-005001.hwpx	중소벤처기업부	2017	hwpx	61	54	1	
w2_mcp_hwp_doc_export_text-005002	mcp-hwp-doc-export-text	bound	BOUND_LIE	samples/wave2/과학기술정보통신부/2017/mcp-hwp-doc-export-text-005002.hwp	과학기술정보통신부	2017	hwp	62	70	0	
w2_mcp_hwp_doc_export_text-005003	mcp-hwp-doc-export-text	bound	BOUND_OK	samples/wave2/문화체육관광부/2017/mcp-hwp-doc-export-text-005003.hwpx	문화체육관광부	2017	hwpx	63	72	1	
w2_mcp_hwp_doc_export_text-005004	mcp-hwp-doc-export-text	bound	BOUND_OK	samples/wave2/환경부/2017/mcp-hwp-doc-export-text-005004.hwp	환경부	2017	hwp	64	64	0	
w2_mcp_hwp_doc_export_text-005005	mcp-hwp-doc-export-text	bound	BOUND_OK	samples/wave2/해양수산부/2017/mcp-hwp-doc-export-text-005005.hwpx	해양수산부	2017	hwpx	65	63	0	
w2_mcp_hwp_doc_export_text-005006	mcp-hwp-doc-export-text	bound	BOUND_OK	samples/wave2/서울특별시/2017/mcp-hwp-doc-export-text-005006.hwp	서울특별시	2017	hwp	66	63	0	
w2_mcp_hwp_doc_export_text-005007	mcp-hwp-doc-export-text	bound	BOUND_FALSE_POS	samples/wave2/경기도/2017/mcp-hwp-doc-export-text-005007.hwpx	경기도	2017	hwpx	67	63	1	
w2_mcp_hwp_doc_export_text-005008	mcp-hwp-doc-export-text	bound	BOUND_FALSE_POS	samples/wave2/부산광역시/2017/mcp-hwp-doc-export-text-005008.hwp	부산광역시	2017	hwp	68	63	1	
w2_mcp_hwp_doc_export_text-005009	mcp-hwp-doc-export-text	bound	BOUND_LIE	samples/wave2/제주특별자치도/2017/mcp-hwp-doc-export-text-005009.hwpx	제주특별자치도	2017	hwpx	69	75	0	
