case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_hwp_doc_search-000000	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/법제처/2016/mcp-hwp-doc-search-000000.hwp	법제처	2016	hwp	0	0	0	8
w2_mcp_hwp_doc_search-000001	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/행정안전부/2016/mcp-hwp-doc-search-000001.hwpx	행정안전부	2016	hwpx	1	1	1	9
w2_mcp_hwp_doc_search-000002	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/국세청/2016/mcp-hwp-doc-search-000002.hwp	국세청	2016	hwp	2	2	2	10
w2_mcp_hwp_doc_search-000003	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/대법원/2016/mcp-hwp-doc-search-000003.hwpx	대법원	2016	hwpx	3	3	3	11
w2_mcp_hwp_doc_search-000004	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/특허청/2016/mcp-hwp-doc-search-000004.hwp	특허청	2016	hwp	4	4	4	12
w2_mcp_hwp_doc_search-000005	mcp-hwp-doc-search	search	COUNT_DRIFT	samples/wave2/교육부/2016/mcp-hwp-doc-search-000005.hwpx	교육부	2016	hwpx	6	5	5	13
w2_mcp_hwp_doc_search-000006	mcp-hwp-doc-search	search	COUNT_DRIFT	samples/wave2/보건복지부/2016/mcp-hwp-doc-search-000006.hwp	보건복지부	2016	hwp	7	6	15	14
w2_mcp_hwp_doc_search-000007	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/국토교통부/2016/mcp-hwp-doc-search-000007.hwpx	국토교통부	2016	hwpx	7	7	7	15
w2_mcp_hwp_doc_search-000008	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/고용노동부/2016/mcp-hwp-doc-search-000008.hwp	고용노동부	2016	hwp	8	8	8	16
w2_mcp_hwp_doc_search-000009	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/외교부/2016/mcp-hwp-doc-search-000009.hwpx	외교부	2016	hwpx	9	9	9	17
w2_mcp_hwp_doc_search-000010	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/기획재정부/2016/mcp-hwp-doc-search-000010.hwp	기획재정부	2016	hwp	10	10	10	18
w2_mcp_hwp_doc_search-000011	mcp-hwp-doc-search	search	SEARCH_OK	samples/wave2/공정거래위원회/2016/mcp-hwp-doc-search-000011.hwpx	공정거래위원회	2016	hwpx	11	11	11	19
w2_mcp_hwp_doc_search-000012	mcp-hwp-doc-search	search	COUNT_DRIFT	samples/wave2/금융위원회/2016/mcp-hwp-doc-search-000012.hwp	금융위원회	2016	hwp	13	12	4	8
