case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_hwp_list_docs-005000	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/산림청/2017/mcp-hwp-list-docs-005000.hwp	산림청	2017	hwp	8	8		
w2_mcp_hwp_list_docs-005001	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2017/mcp-hwp-list-docs-005001.hwpx	중소벤처기업부	2017	hwpx	9	9		
w2_mcp_hwp_list_docs-005002	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2017/mcp-hwp-list-docs-005002.hwp	과학기술정보통신부	2017	hwp	10	10		
w2_mcp_hwp_list_docs-005003	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/문화체육관광부/2017/mcp-hwp-list-docs-005003.hwpx	문화체육관광부	2017	hwpx	11	12		
w2_mcp_hwp_list_docs-005004	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/환경부/2017/mcp-hwp-list-docs-005004.hwp	환경부	2017	hwp	12	11		
w2_mcp_hwp_list_docs-005005	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/해양수산부/2017/mcp-hwp-list-docs-005005.hwpx	해양수산부	2017	hwpx	13	13		
w2_mcp_hwp_list_docs-005006	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/서울특별시/2017/mcp-hwp-list-docs-005006.hwp	서울특별시	2017	hwp	14	14		
w2_mcp_hwp_list_docs-005007	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/경기도/2017/mcp-hwp-list-docs-005007.hwpx	경기도	2017	hwpx	15	15		
w2_mcp_hwp_list_docs-005008	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/부산광역시/2017/mcp-hwp-list-docs-005008.hwp	부산광역시	2017	hwp	16	16		
w2_mcp_hwp_list_docs-005009	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2017/mcp-hwp-list-docs-005009.hwpx	제주특별자치도	2017	hwpx	17	17		
w2_mcp_hwp_list_docs-005010	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/법제처/2018/mcp-hwp-list-docs-005010.hwp	법제처	2018	hwp	18	19		
w2_mcp_hwp_list_docs-005011	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/행정안전부/2018/mcp-hwp-list-docs-005011.hwpx	행정안전부	2018	hwpx	19	18		
w2_mcp_hwp_list_docs-005012	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/국세청/2018/mcp-hwp-list-docs-005012.hwp	국세청	2018	hwp	20	20		
w2_mcp_hwp_list_docs-005013	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/대법원/2018/mcp-hwp-list-docs-005013.hwpx	대법원	2018	hwpx	21	21		
w2_mcp_hwp_list_docs-005014	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/특허청/2018/mcp-hwp-list-docs-005014.hwp	특허청	2018	hwp	22	22		
w2_mcp_hwp_list_docs-005015	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/교육부/2018/mcp-hwp-list-docs-005015.hwpx	교육부	2018	hwpx	23	23		
w2_mcp_hwp_list_docs-005016	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/보건복지부/2018/mcp-hwp-list-docs-005016.hwp	보건복지부	2018	hwp	0	0		
w2_mcp_hwp_list_docs-005017	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/국토교통부/2018/mcp-hwp-list-docs-005017.hwpx	국토교통부	2018	hwpx	1	2		
w2_mcp_hwp_list_docs-005018	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/고용노동부/2018/mcp-hwp-list-docs-005018.hwp	고용노동부	2018	hwp	2	1		
w2_mcp_hwp_list_docs-005019	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/외교부/2018/mcp-hwp-list-docs-005019.hwpx	외교부	2018	hwpx	3	3		
w2_mcp_hwp_list_docs-005020	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/기획재정부/2018/mcp-hwp-list-docs-005020.hwp	기획재정부	2018	hwp	4	4		
w2_mcp_hwp_list_docs-005021	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2018/mcp-hwp-list-docs-005021.hwpx	공정거래위원회	2018	hwpx	5	5		
w2_mcp_hwp_list_docs-005022	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/금융위원회/2018/mcp-hwp-list-docs-005022.hwp	금융위원회	2018	hwp	6	6		
w2_mcp_hwp_list_docs-005023	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/통계청/2018/mcp-hwp-list-docs-005023.hwpx	통계청	2018	hwpx	7	7		
w2_mcp_hwp_list_docs-005024	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/기상청/2018/mcp-hwp-list-docs-005024.hwp	기상청	2018	hwp	8	9		
w2_mcp_hwp_list_docs-005025	mcp-hwp-list-docs	count_eq	COUNT_DRIFT	samples/wave2/관세청/2018/mcp-hwp-list-docs-005025.hwpx	관세청	2018	hwpx	9	8		
w2_mcp_hwp_list_docs-005026	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/검찰청/2018/mcp-hwp-list-docs-005026.hwp	검찰청	2018	hwp	10	10		
w2_mcp_hwp_list_docs-005027	mcp-hwp-list-docs	count_eq	COUNT_OK	samples/wave2/경찰청/2018/mcp-hwp-list-docs-005027.hwpx	경찰청	2018	hwpx	11	11		
