case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_hwp_open-005000	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/산림청/2017/mcp-hwp-open-005000.hwp	산림청	2017	hwp	1	1	0	
w2_mcp_hwp_open-005001	mcp-hwp-open	lease	LEASE_OK	samples/wave2/중소벤처기업부/2017/mcp-hwp-open-005001.hwpx	중소벤처기업부	2017	hwpx	1	0	0	
w2_mcp_hwp_open-005002	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/과학기술정보통신부/2017/mcp-hwp-open-005002.hwp	과학기술정보통신부	2017	hwp	1	0	1	
w2_mcp_hwp_open-005003	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/문화체육관광부/2017/mcp-hwp-open-005003.hwpx	문화체육관광부	2017	hwpx	1	0	2	
w2_mcp_hwp_open-005004	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/환경부/2017/mcp-hwp-open-005004.hwp	환경부	2017	hwp	1	0	9	
w2_mcp_hwp_open-005005	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/해양수산부/2017/mcp-hwp-open-005005.hwpx	해양수산부	2017	hwpx	0	0	0	
w2_mcp_hwp_open-005006	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/서울특별시/2017/mcp-hwp-open-005006.hwp	서울특별시	2017	hwp	0	0	3	
w2_mcp_hwp_open-005007	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/경기도/2017/mcp-hwp-open-005007.hwpx	경기도	2017	hwpx	1	1	0	
w2_mcp_hwp_open-005008	mcp-hwp-open	lease	LEASE_OK	samples/wave2/부산광역시/2017/mcp-hwp-open-005008.hwp	부산광역시	2017	hwp	1	0	0	
w2_mcp_hwp_open-005009	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/제주특별자치도/2017/mcp-hwp-open-005009.hwpx	제주특별자치도	2017	hwpx	1	0	1	
w2_mcp_hwp_open-005010	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/법제처/2018/mcp-hwp-open-005010.hwp	법제처	2018	hwp	1	0	2	
w2_mcp_hwp_open-005011	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/행정안전부/2018/mcp-hwp-open-005011.hwpx	행정안전부	2018	hwpx	1	0	9	
w2_mcp_hwp_open-005012	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/국세청/2018/mcp-hwp-open-005012.hwp	국세청	2018	hwp	0	0	0	
w2_mcp_hwp_open-005013	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/대법원/2018/mcp-hwp-open-005013.hwpx	대법원	2018	hwpx	0	0	3	
w2_mcp_hwp_open-005014	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/특허청/2018/mcp-hwp-open-005014.hwp	특허청	2018	hwp	1	1	0	
w2_mcp_hwp_open-005015	mcp-hwp-open	lease	LEASE_OK	samples/wave2/교육부/2018/mcp-hwp-open-005015.hwpx	교육부	2018	hwpx	1	0	0	
w2_mcp_hwp_open-005016	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/보건복지부/2018/mcp-hwp-open-005016.hwp	보건복지부	2018	hwp	1	0	1	
w2_mcp_hwp_open-005017	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/국토교통부/2018/mcp-hwp-open-005017.hwpx	국토교통부	2018	hwpx	1	0	2	
w2_mcp_hwp_open-005018	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/고용노동부/2018/mcp-hwp-open-005018.hwp	고용노동부	2018	hwp	1	0	9	
w2_mcp_hwp_open-005019	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/외교부/2018/mcp-hwp-open-005019.hwpx	외교부	2018	hwpx	0	0	0	
w2_mcp_hwp_open-005020	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/기획재정부/2018/mcp-hwp-open-005020.hwp	기획재정부	2018	hwp	0	0	3	
w2_mcp_hwp_open-005021	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/공정거래위원회/2018/mcp-hwp-open-005021.hwpx	공정거래위원회	2018	hwpx	1	1	0	
w2_mcp_hwp_open-005022	mcp-hwp-open	lease	LEASE_OK	samples/wave2/금융위원회/2018/mcp-hwp-open-005022.hwp	금융위원회	2018	hwp	1	0	0	
w2_mcp_hwp_open-005023	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/통계청/2018/mcp-hwp-open-005023.hwpx	통계청	2018	hwpx	1	0	1	
w2_mcp_hwp_open-005024	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/기상청/2018/mcp-hwp-open-005024.hwp	기상청	2018	hwp	1	0	2	
w2_mcp_hwp_open-005025	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/관세청/2018/mcp-hwp-open-005025.hwpx	관세청	2018	hwpx	1	0	9	
w2_mcp_hwp_open-005026	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/검찰청/2018/mcp-hwp-open-005026.hwp	검찰청	2018	hwp	0	0	0	
w2_mcp_hwp_open-005027	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/경찰청/2018/mcp-hwp-open-005027.hwpx	경찰청	2018	hwpx	0	0	3	
w2_mcp_hwp_open-005028	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/소방청/2018/mcp-hwp-open-005028.hwp	소방청	2018	hwp	1	1	0	
w2_mcp_hwp_open-005029	mcp-hwp-open	lease	LEASE_OK	samples/wave2/병무청/2018/mcp-hwp-open-005029.hwpx	병무청	2018	hwpx	1	0	0	
w2_mcp_hwp_open-005030	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/산림청/2018/mcp-hwp-open-005030.hwp	산림청	2018	hwp	1	0	1	
w2_mcp_hwp_open-005031	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/중소벤처기업부/2018/mcp-hwp-open-005031.hwpx	중소벤처기업부	2018	hwpx	1	0	2	
w2_mcp_hwp_open-005032	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/과학기술정보통신부/2018/mcp-hwp-open-005032.hwp	과학기술정보통신부	2018	hwp	1	0	9	
w2_mcp_hwp_open-005033	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/문화체육관광부/2018/mcp-hwp-open-005033.hwpx	문화체육관광부	2018	hwpx	0	0	0	
w2_mcp_hwp_open-005034	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/환경부/2018/mcp-hwp-open-005034.hwp	환경부	2018	hwp	0	0	3	
w2_mcp_hwp_open-005035	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/해양수산부/2018/mcp-hwp-open-005035.hwpx	해양수산부	2018	hwpx	1	1	0	
w2_mcp_hwp_open-005036	mcp-hwp-open	lease	LEASE_OK	samples/wave2/서울특별시/2018/mcp-hwp-open-005036.hwp	서울특별시	2018	hwp	1	0	0	
w2_mcp_hwp_open-005037	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/경기도/2018/mcp-hwp-open-005037.hwpx	경기도	2018	hwpx	1	0	1	
w2_mcp_hwp_open-005038	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/부산광역시/2018/mcp-hwp-open-005038.hwp	부산광역시	2018	hwp	1	0	2	
w2_mcp_hwp_open-005039	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/제주특별자치도/2018/mcp-hwp-open-005039.hwpx	제주특별자치도	2018	hwpx	1	0	9	
w2_mcp_hwp_open-005040	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/법제처/2019/mcp-hwp-open-005040.hwp	법제처	2019	hwp	0	0	0	
w2_mcp_hwp_open-005041	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/행정안전부/2019/mcp-hwp-open-005041.hwpx	행정안전부	2019	hwpx	0	0	3	
w2_mcp_hwp_open-005042	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/국세청/2019/mcp-hwp-open-005042.hwp	국세청	2019	hwp	1	1	0	
w2_mcp_hwp_open-005043	mcp-hwp-open	lease	LEASE_OK	samples/wave2/대법원/2019/mcp-hwp-open-005043.hwpx	대법원	2019	hwpx	1	0	0	
w2_mcp_hwp_open-005044	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/특허청/2019/mcp-hwp-open-005044.hwp	특허청	2019	hwp	1	0	1	
w2_mcp_hwp_open-005045	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/교육부/2019/mcp-hwp-open-005045.hwpx	교육부	2019	hwpx	1	0	2	
w2_mcp_hwp_open-005046	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/보건복지부/2019/mcp-hwp-open-005046.hwp	보건복지부	2019	hwp	1	0	9	
w2_mcp_hwp_open-005047	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/국토교통부/2019/mcp-hwp-open-005047.hwpx	국토교통부	2019	hwpx	0	0	0	
w2_mcp_hwp_open-005048	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/고용노동부/2019/mcp-hwp-open-005048.hwp	고용노동부	2019	hwp	0	0	3	
w2_mcp_hwp_open-005049	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/외교부/2019/mcp-hwp-open-005049.hwpx	외교부	2019	hwpx	1	1	0	
w2_mcp_hwp_open-005050	mcp-hwp-open	lease	LEASE_OK	samples/wave2/기획재정부/2019/mcp-hwp-open-005050.hwp	기획재정부	2019	hwp	1	0	0	
w2_mcp_hwp_open-005051	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/공정거래위원회/2019/mcp-hwp-open-005051.hwpx	공정거래위원회	2019	hwpx	1	0	1	
w2_mcp_hwp_open-005052	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/금융위원회/2019/mcp-hwp-open-005052.hwp	금융위원회	2019	hwp	1	0	2	
w2_mcp_hwp_open-005053	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/통계청/2019/mcp-hwp-open-005053.hwpx	통계청	2019	hwpx	1	0	9	
w2_mcp_hwp_open-005054	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/기상청/2019/mcp-hwp-open-005054.hwp	기상청	2019	hwp	0	0	0	
w2_mcp_hwp_open-005055	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/관세청/2019/mcp-hwp-open-005055.hwpx	관세청	2019	hwpx	0	0	3	
w2_mcp_hwp_open-005056	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/검찰청/2019/mcp-hwp-open-005056.hwp	검찰청	2019	hwp	1	1	0	
w2_mcp_hwp_open-005057	mcp-hwp-open	lease	LEASE_OK	samples/wave2/경찰청/2019/mcp-hwp-open-005057.hwpx	경찰청	2019	hwpx	1	0	0	
w2_mcp_hwp_open-005058	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/소방청/2019/mcp-hwp-open-005058.hwp	소방청	2019	hwp	1	0	1	
w2_mcp_hwp_open-005059	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/병무청/2019/mcp-hwp-open-005059.hwpx	병무청	2019	hwpx	1	0	2	
w2_mcp_hwp_open-005060	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/산림청/2019/mcp-hwp-open-005060.hwp	산림청	2019	hwp	1	0	9	
w2_mcp_hwp_open-005061	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/중소벤처기업부/2019/mcp-hwp-open-005061.hwpx	중소벤처기업부	2019	hwpx	0	0	0	
w2_mcp_hwp_open-005062	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/과학기술정보통신부/2019/mcp-hwp-open-005062.hwp	과학기술정보통신부	2019	hwp	0	0	3	
w2_mcp_hwp_open-005063	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/문화체육관광부/2019/mcp-hwp-open-005063.hwpx	문화체육관광부	2019	hwpx	1	1	0	
w2_mcp_hwp_open-005064	mcp-hwp-open	lease	LEASE_OK	samples/wave2/환경부/2019/mcp-hwp-open-005064.hwp	환경부	2019	hwp	1	0	0	
w2_mcp_hwp_open-005065	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/해양수산부/2019/mcp-hwp-open-005065.hwpx	해양수산부	2019	hwpx	1	0	1	
w2_mcp_hwp_open-005066	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/서울특별시/2019/mcp-hwp-open-005066.hwp	서울특별시	2019	hwp	1	0	2	
w2_mcp_hwp_open-005067	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/경기도/2019/mcp-hwp-open-005067.hwpx	경기도	2019	hwpx	1	0	9	
w2_mcp_hwp_open-005068	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/부산광역시/2019/mcp-hwp-open-005068.hwp	부산광역시	2019	hwp	0	0	0	
w2_mcp_hwp_open-005069	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/제주특별자치도/2019/mcp-hwp-open-005069.hwpx	제주특별자치도	2019	hwpx	0	0	3	
w2_mcp_hwp_open-005070	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/법제처/2020/mcp-hwp-open-005070.hwp	법제처	2020	hwp	1	1	0	
w2_mcp_hwp_open-005071	mcp-hwp-open	lease	LEASE_OK	samples/wave2/행정안전부/2020/mcp-hwp-open-005071.hwpx	행정안전부	2020	hwpx	1	0	0	
w2_mcp_hwp_open-005072	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/국세청/2020/mcp-hwp-open-005072.hwp	국세청	2020	hwp	1	0	1	
w2_mcp_hwp_open-005073	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/대법원/2020/mcp-hwp-open-005073.hwpx	대법원	2020	hwpx	1	0	2	
w2_mcp_hwp_open-005074	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/특허청/2020/mcp-hwp-open-005074.hwp	특허청	2020	hwp	1	0	9	
w2_mcp_hwp_open-005075	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/교육부/2020/mcp-hwp-open-005075.hwpx	교육부	2020	hwpx	0	0	0	
w2_mcp_hwp_open-005076	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/보건복지부/2020/mcp-hwp-open-005076.hwp	보건복지부	2020	hwp	0	0	3	
w2_mcp_hwp_open-005077	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/국토교통부/2020/mcp-hwp-open-005077.hwpx	국토교통부	2020	hwpx	1	1	0	
w2_mcp_hwp_open-005078	mcp-hwp-open	lease	LEASE_OK	samples/wave2/고용노동부/2020/mcp-hwp-open-005078.hwp	고용노동부	2020	hwp	1	0	0	
w2_mcp_hwp_open-005079	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/외교부/2020/mcp-hwp-open-005079.hwpx	외교부	2020	hwpx	1	0	1	
w2_mcp_hwp_open-005080	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/기획재정부/2020/mcp-hwp-open-005080.hwp	기획재정부	2020	hwp	1	0	2	
w2_mcp_hwp_open-005081	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/공정거래위원회/2020/mcp-hwp-open-005081.hwpx	공정거래위원회	2020	hwpx	1	0	9	
w2_mcp_hwp_open-005082	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/금융위원회/2020/mcp-hwp-open-005082.hwp	금융위원회	2020	hwp	0	0	0	
w2_mcp_hwp_open-005083	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/통계청/2020/mcp-hwp-open-005083.hwpx	통계청	2020	hwpx	0	0	3	
w2_mcp_hwp_open-005084	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/기상청/2020/mcp-hwp-open-005084.hwp	기상청	2020	hwp	1	1	0	
w2_mcp_hwp_open-005085	mcp-hwp-open	lease	LEASE_OK	samples/wave2/관세청/2020/mcp-hwp-open-005085.hwpx	관세청	2020	hwpx	1	0	0	
w2_mcp_hwp_open-005086	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/검찰청/2020/mcp-hwp-open-005086.hwp	검찰청	2020	hwp	1	0	1	
w2_mcp_hwp_open-005087	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/경찰청/2020/mcp-hwp-open-005087.hwpx	경찰청	2020	hwpx	1	0	2	
w2_mcp_hwp_open-005088	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/소방청/2020/mcp-hwp-open-005088.hwp	소방청	2020	hwp	1	0	9	
w2_mcp_hwp_open-005089	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/병무청/2020/mcp-hwp-open-005089.hwpx	병무청	2020	hwpx	0	0	0	
w2_mcp_hwp_open-005090	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/산림청/2020/mcp-hwp-open-005090.hwp	산림청	2020	hwp	0	0	3	
w2_mcp_hwp_open-005091	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/중소벤처기업부/2020/mcp-hwp-open-005091.hwpx	중소벤처기업부	2020	hwpx	1	1	0	
w2_mcp_hwp_open-005092	mcp-hwp-open	lease	LEASE_OK	samples/wave2/과학기술정보통신부/2020/mcp-hwp-open-005092.hwp	과학기술정보통신부	2020	hwp	1	0	0	
w2_mcp_hwp_open-005093	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/문화체육관광부/2020/mcp-hwp-open-005093.hwpx	문화체육관광부	2020	hwpx	1	0	1	
w2_mcp_hwp_open-005094	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/환경부/2020/mcp-hwp-open-005094.hwp	환경부	2020	hwp	1	0	2	
w2_mcp_hwp_open-005095	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/해양수산부/2020/mcp-hwp-open-005095.hwpx	해양수산부	2020	hwpx	1	0	9	
w2_mcp_hwp_open-005096	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/서울특별시/2020/mcp-hwp-open-005096.hwp	서울특별시	2020	hwp	0	0	0	
w2_mcp_hwp_open-005097	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/경기도/2020/mcp-hwp-open-005097.hwpx	경기도	2020	hwpx	0	0	3	
w2_mcp_hwp_open-005098	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/부산광역시/2020/mcp-hwp-open-005098.hwp	부산광역시	2020	hwp	1	1	0	
w2_mcp_hwp_open-005099	mcp-hwp-open	lease	LEASE_OK	samples/wave2/제주특별자치도/2020/mcp-hwp-open-005099.hwpx	제주특별자치도	2020	hwpx	1	0	0	
w2_mcp_hwp_open-005100	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/법제처/2021/mcp-hwp-open-005100.hwp	법제처	2021	hwp	1	0	1	
w2_mcp_hwp_open-005101	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/행정안전부/2021/mcp-hwp-open-005101.hwpx	행정안전부	2021	hwpx	1	0	2	
w2_mcp_hwp_open-005102	mcp-hwp-open	lease	EXIT_UNKNOWN	samples/wave2/국세청/2021/mcp-hwp-open-005102.hwp	국세청	2021	hwp	1	0	9	
w2_mcp_hwp_open-005103	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/대법원/2021/mcp-hwp-open-005103.hwpx	대법원	2021	hwpx	0	0	0	
w2_mcp_hwp_open-005104	mcp-hwp-open	lease	SESSION_CLOSED	samples/wave2/특허청/2021/mcp-hwp-open-005104.hwp	특허청	2021	hwp	0	0	3	
w2_mcp_hwp_open-005105	mcp-hwp-open	lease	LEASE_STALE	samples/wave2/교육부/2021/mcp-hwp-open-005105.hwpx	교육부	2021	hwpx	1	1	0	
w2_mcp_hwp_open-005106	mcp-hwp-open	lease	LEASE_OK	samples/wave2/보건복지부/2021/mcp-hwp-open-005106.hwp	보건복지부	2021	hwp	1	0	0	
w2_mcp_hwp_open-005107	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/국토교통부/2021/mcp-hwp-open-005107.hwpx	국토교통부	2021	hwpx	1	0	1	
w2_mcp_hwp_open-005108	mcp-hwp-open	lease	LEASE_FAIL	samples/wave2/고용노동부/2021/mcp-hwp-open-005108.hwp	고용노동부	2021	hwp	1	0	2	
