case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_mcp_stateless_info-010000	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/기획재정부/2019/mcp-stateless-info-010000.hwp	기획재정부	2019	hwp	0	0	2	
w2_mcp_stateless_info-010001	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/공정거래위원회/2019/mcp-stateless-info-010001.hwpx	공정거래위원회	2019	hwpx	0	0	3	
w2_mcp_stateless_info-010002	mcp-stateless-info	layer	ENV_UNKNOWN	samples/wave2/금융위원회/2019/mcp-stateless-info-010002.hwp	금융위원회	2019	hwp	0	0	9	
w2_mcp_stateless_info-010003	mcp-stateless-info	layer	RPC_FAIL	samples/wave2/통계청/2019/mcp-stateless-info-010003.hwpx	통계청	2019	hwpx	1	0	0	
w2_mcp_stateless_info-010004	mcp-stateless-info	layer	TOOL_FAIL	samples/wave2/기상청/2019/mcp-stateless-info-010004.hwp	기상청	2019	hwp	0	1	0	
w2_mcp_stateless_info-010005	mcp-stateless-info	layer	ENV_OK	samples/wave2/관세청/2019/mcp-stateless-info-010005.hwpx	관세청	2019	hwpx	0	0	0	
w2_mcp_stateless_info-010006	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/검찰청/2019/mcp-stateless-info-010006.hwp	검찰청	2019	hwp	0	0	1	
w2_mcp_stateless_info-010007	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/경찰청/2019/mcp-stateless-info-010007.hwpx	경찰청	2019	hwpx	0	0	2	
w2_mcp_stateless_info-010008	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/소방청/2019/mcp-stateless-info-010008.hwp	소방청	2019	hwp	0	0	3	
w2_mcp_stateless_info-010009	mcp-stateless-info	layer	ENV_UNKNOWN	samples/wave2/병무청/2019/mcp-stateless-info-010009.hwpx	병무청	2019	hwpx	0	0	9	
w2_mcp_stateless_info-010010	mcp-stateless-info	layer	RPC_FAIL	samples/wave2/산림청/2019/mcp-stateless-info-010010.hwp	산림청	2019	hwp	1	0	0	
w2_mcp_stateless_info-010011	mcp-stateless-info	layer	TOOL_FAIL	samples/wave2/중소벤처기업부/2019/mcp-stateless-info-010011.hwpx	중소벤처기업부	2019	hwpx	0	1	0	
w2_mcp_stateless_info-010012	mcp-stateless-info	layer	ENV_OK	samples/wave2/과학기술정보통신부/2019/mcp-stateless-info-010012.hwp	과학기술정보통신부	2019	hwp	0	0	0	
w2_mcp_stateless_info-010013	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/문화체육관광부/2019/mcp-stateless-info-010013.hwpx	문화체육관광부	2019	hwpx	0	0	1	
w2_mcp_stateless_info-010014	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/환경부/2019/mcp-stateless-info-010014.hwp	환경부	2019	hwp	0	0	2	
w2_mcp_stateless_info-010015	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/해양수산부/2019/mcp-stateless-info-010015.hwpx	해양수산부	2019	hwpx	0	0	3	
w2_mcp_stateless_info-010016	mcp-stateless-info	layer	ENV_UNKNOWN	samples/wave2/서울특별시/2019/mcp-stateless-info-010016.hwp	서울특별시	2019	hwp	0	0	9	
w2_mcp_stateless_info-010017	mcp-stateless-info	layer	RPC_FAIL	samples/wave2/경기도/2019/mcp-stateless-info-010017.hwpx	경기도	2019	hwpx	1	0	0	
w2_mcp_stateless_info-010018	mcp-stateless-info	layer	TOOL_FAIL	samples/wave2/부산광역시/2019/mcp-stateless-info-010018.hwp	부산광역시	2019	hwp	0	1	0	
w2_mcp_stateless_info-010019	mcp-stateless-info	layer	ENV_OK	samples/wave2/제주특별자치도/2019/mcp-stateless-info-010019.hwpx	제주특별자치도	2019	hwpx	0	0	0	
w2_mcp_stateless_info-010020	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/법제처/2020/mcp-stateless-info-010020.hwp	법제처	2020	hwp	0	0	1	
w2_mcp_stateless_info-010021	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/행정안전부/2020/mcp-stateless-info-010021.hwpx	행정안전부	2020	hwpx	0	0	2	
w2_mcp_stateless_info-010022	mcp-stateless-info	layer	ENV_JUDGE	samples/wave2/국세청/2020/mcp-stateless-info-010022.hwp	국세청	2020	hwp	0	0	3	
w2_mcp_stateless_info-010023	mcp-stateless-info	layer	ENV_UNKNOWN	samples/wave2/대법원/2020/mcp-stateless-info-010023.hwpx	대법원	2020	hwpx	0	0	9	
w2_mcp_stateless_info-010024	mcp-stateless-info	layer	RPC_FAIL	samples/wave2/특허청/2020/mcp-stateless-info-010024.hwp	특허청	2020	hwp	1	0	0	
