case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_ooxml_chart_round-010000	ooxml-chart-round	round	FORMAT_NA	samples/wave2/기획재정부/2019/ooxml-chart-round-010000.hwp	기획재정부	2019	hwp	1	1	0	
w2_ooxml_chart_round-010001	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/공정거래위원회/2019/ooxml-chart-round-010001.hwpx	공정거래위원회	2019	hwpx	2	3	1	
w2_ooxml_chart_round-010002	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/금융위원회/2019/ooxml-chart-round-010002.hwp	금융위원회	2019	hwp	3	2	1	
w2_ooxml_chart_round-010003	ooxml-chart-round	round	ROUND_OK	samples/wave2/통계청/2019/ooxml-chart-round-010003.hwpx	통계청	2019	hwpx	4	4	1	
w2_ooxml_chart_round-010004	ooxml-chart-round	round	ROUND_OK	samples/wave2/기상청/2019/ooxml-chart-round-010004.hwp	기상청	2019	hwp	5	5	1	
w2_ooxml_chart_round-010005	ooxml-chart-round	round	ROUND_OK	samples/wave2/관세청/2019/ooxml-chart-round-010005.hwpx	관세청	2019	hwpx	6	6	1	
w2_ooxml_chart_round-010006	ooxml-chart-round	round	ROUND_OK	samples/wave2/검찰청/2019/ooxml-chart-round-010006.hwp	검찰청	2019	hwp	7	7	1	
w2_ooxml_chart_round-010007	ooxml-chart-round	round	FORMAT_NA	samples/wave2/경찰청/2019/ooxml-chart-round-010007.hwpx	경찰청	2019	hwpx	8	8	0	
w2_ooxml_chart_round-010008	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/소방청/2019/ooxml-chart-round-010008.hwp	소방청	2019	hwp	9	10	1	
w2_ooxml_chart_round-010009	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/병무청/2019/ooxml-chart-round-010009.hwpx	병무청	2019	hwpx	10	9	1	
w2_ooxml_chart_round-010010	ooxml-chart-round	round	ROUND_OK	samples/wave2/산림청/2019/ooxml-chart-round-010010.hwp	산림청	2019	hwp	11	11	1	
w2_ooxml_chart_round-010011	ooxml-chart-round	round	ROUND_OK	samples/wave2/중소벤처기업부/2019/ooxml-chart-round-010011.hwpx	중소벤처기업부	2019	hwpx	12	12	1	
w2_ooxml_chart_round-010012	ooxml-chart-round	round	ROUND_OK	samples/wave2/과학기술정보통신부/2019/ooxml-chart-round-010012.hwp	과학기술정보통신부	2019	hwp	13	13	1	
w2_ooxml_chart_round-010013	ooxml-chart-round	round	ROUND_OK	samples/wave2/문화체육관광부/2019/ooxml-chart-round-010013.hwpx	문화체육관광부	2019	hwpx	14	14	1	
w2_ooxml_chart_round-010014	ooxml-chart-round	round	FORMAT_NA	samples/wave2/환경부/2019/ooxml-chart-round-010014.hwp	환경부	2019	hwp	15	15	0	
w2_ooxml_chart_round-010015	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/해양수산부/2019/ooxml-chart-round-010015.hwpx	해양수산부	2019	hwpx	16	17	1	
w2_ooxml_chart_round-010016	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/서울특별시/2019/ooxml-chart-round-010016.hwp	서울특별시	2019	hwp	17	16	1	
w2_ooxml_chart_round-010017	ooxml-chart-round	round	ROUND_OK	samples/wave2/경기도/2019/ooxml-chart-round-010017.hwpx	경기도	2019	hwpx	18	18	1	
w2_ooxml_chart_round-010018	ooxml-chart-round	round	ROUND_OK	samples/wave2/부산광역시/2019/ooxml-chart-round-010018.hwp	부산광역시	2019	hwp	19	19	1	
w2_ooxml_chart_round-010019	ooxml-chart-round	round	ROUND_OK	samples/wave2/제주특별자치도/2019/ooxml-chart-round-010019.hwpx	제주특별자치도	2019	hwpx	20	20	1	
w2_ooxml_chart_round-010020	ooxml-chart-round	round	ROUND_OK	samples/wave2/법제처/2020/ooxml-chart-round-010020.hwp	법제처	2020	hwp	21	21	1	
w2_ooxml_chart_round-010021	ooxml-chart-round	round	FORMAT_NA	samples/wave2/행정안전부/2020/ooxml-chart-round-010021.hwpx	행정안전부	2020	hwpx	22	22	0	
w2_ooxml_chart_round-010022	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/국세청/2020/ooxml-chart-round-010022.hwp	국세청	2020	hwp	23	24	1	
w2_ooxml_chart_round-010023	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/대법원/2020/ooxml-chart-round-010023.hwpx	대법원	2020	hwpx	24	23	1	
w2_ooxml_chart_round-010024	ooxml-chart-round	round	ROUND_OK	samples/wave2/특허청/2020/ooxml-chart-round-010024.hwp	특허청	2020	hwp	25	25	1	
w2_ooxml_chart_round-010025	ooxml-chart-round	round	ROUND_OK	samples/wave2/교육부/2020/ooxml-chart-round-010025.hwpx	교육부	2020	hwpx	26	26	1	
w2_ooxml_chart_round-010026	ooxml-chart-round	round	ROUND_OK	samples/wave2/보건복지부/2020/ooxml-chart-round-010026.hwp	보건복지부	2020	hwp	27	27	1	
w2_ooxml_chart_round-010027	ooxml-chart-round	round	ROUND_OK	samples/wave2/국토교통부/2020/ooxml-chart-round-010027.hwpx	국토교통부	2020	hwpx	28	28	1	
w2_ooxml_chart_round-010028	ooxml-chart-round	round	FORMAT_NA	samples/wave2/고용노동부/2020/ooxml-chart-round-010028.hwp	고용노동부	2020	hwp	29	29	0	
w2_ooxml_chart_round-010029	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/외교부/2020/ooxml-chart-round-010029.hwpx	외교부	2020	hwpx	30	31	1	
w2_ooxml_chart_round-010030	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/기획재정부/2020/ooxml-chart-round-010030.hwp	기획재정부	2020	hwp	31	30	1	
w2_ooxml_chart_round-010031	ooxml-chart-round	round	ROUND_OK	samples/wave2/공정거래위원회/2020/ooxml-chart-round-010031.hwpx	공정거래위원회	2020	hwpx	32	32	1	
w2_ooxml_chart_round-010032	ooxml-chart-round	round	ROUND_OK	samples/wave2/금융위원회/2020/ooxml-chart-round-010032.hwp	금융위원회	2020	hwp	33	33	1	
w2_ooxml_chart_round-010033	ooxml-chart-round	round	ROUND_OK	samples/wave2/통계청/2020/ooxml-chart-round-010033.hwpx	통계청	2020	hwpx	34	34	1	
w2_ooxml_chart_round-010034	ooxml-chart-round	round	ROUND_OK	samples/wave2/기상청/2020/ooxml-chart-round-010034.hwp	기상청	2020	hwp	35	35	1	
w2_ooxml_chart_round-010035	ooxml-chart-round	round	FORMAT_NA	samples/wave2/관세청/2020/ooxml-chart-round-010035.hwpx	관세청	2020	hwpx	36	36	0	
w2_ooxml_chart_round-010036	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/검찰청/2020/ooxml-chart-round-010036.hwp	검찰청	2020	hwp	37	38	1	
w2_ooxml_chart_round-010037	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/경찰청/2020/ooxml-chart-round-010037.hwpx	경찰청	2020	hwpx	38	37	1	
w2_ooxml_chart_round-010038	ooxml-chart-round	round	ROUND_OK	samples/wave2/소방청/2020/ooxml-chart-round-010038.hwp	소방청	2020	hwp	39	39	1	
w2_ooxml_chart_round-010039	ooxml-chart-round	round	ROUND_OK	samples/wave2/병무청/2020/ooxml-chart-round-010039.hwpx	병무청	2020	hwpx	40	40	1	
w2_ooxml_chart_round-010040	ooxml-chart-round	round	ROUND_OK	samples/wave2/산림청/2020/ooxml-chart-round-010040.hwp	산림청	2020	hwp	1	1	1	
w2_ooxml_chart_round-010041	ooxml-chart-round	round	ROUND_OK	samples/wave2/중소벤처기업부/2020/ooxml-chart-round-010041.hwpx	중소벤처기업부	2020	hwpx	2	2	1	
w2_ooxml_chart_round-010042	ooxml-chart-round	round	FORMAT_NA	samples/wave2/과학기술정보통신부/2020/ooxml-chart-round-010042.hwp	과학기술정보통신부	2020	hwp	3	3	0	
w2_ooxml_chart_round-010043	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/문화체육관광부/2020/ooxml-chart-round-010043.hwpx	문화체육관광부	2020	hwpx	4	5	1	
w2_ooxml_chart_round-010044	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/환경부/2020/ooxml-chart-round-010044.hwp	환경부	2020	hwp	5	4	1	
w2_ooxml_chart_round-010045	ooxml-chart-round	round	ROUND_OK	samples/wave2/해양수산부/2020/ooxml-chart-round-010045.hwpx	해양수산부	2020	hwpx	6	6	1	
w2_ooxml_chart_round-010046	ooxml-chart-round	round	ROUND_OK	samples/wave2/서울특별시/2020/ooxml-chart-round-010046.hwp	서울특별시	2020	hwp	7	7	1	
w2_ooxml_chart_round-010047	ooxml-chart-round	round	ROUND_OK	samples/wave2/경기도/2020/ooxml-chart-round-010047.hwpx	경기도	2020	hwpx	8	8	1	
w2_ooxml_chart_round-010048	ooxml-chart-round	round	ROUND_OK	samples/wave2/부산광역시/2020/ooxml-chart-round-010048.hwp	부산광역시	2020	hwp	9	9	1	
w2_ooxml_chart_round-010049	ooxml-chart-round	round	FORMAT_NA	samples/wave2/제주특별자치도/2020/ooxml-chart-round-010049.hwpx	제주특별자치도	2020	hwpx	10	10	0	
w2_ooxml_chart_round-010050	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/법제처/2021/ooxml-chart-round-010050.hwp	법제처	2021	hwp	11	12	1	
w2_ooxml_chart_round-010051	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/행정안전부/2021/ooxml-chart-round-010051.hwpx	행정안전부	2021	hwpx	12	11	1	
w2_ooxml_chart_round-010052	ooxml-chart-round	round	ROUND_OK	samples/wave2/국세청/2021/ooxml-chart-round-010052.hwp	국세청	2021	hwp	13	13	1	
w2_ooxml_chart_round-010053	ooxml-chart-round	round	ROUND_OK	samples/wave2/대법원/2021/ooxml-chart-round-010053.hwpx	대법원	2021	hwpx	14	14	1	
w2_ooxml_chart_round-010054	ooxml-chart-round	round	ROUND_OK	samples/wave2/특허청/2021/ooxml-chart-round-010054.hwp	특허청	2021	hwp	15	15	1	
w2_ooxml_chart_round-010055	ooxml-chart-round	round	ROUND_OK	samples/wave2/교육부/2021/ooxml-chart-round-010055.hwpx	교육부	2021	hwpx	16	16	1	
w2_ooxml_chart_round-010056	ooxml-chart-round	round	FORMAT_NA	samples/wave2/보건복지부/2021/ooxml-chart-round-010056.hwp	보건복지부	2021	hwp	17	17	0	
w2_ooxml_chart_round-010057	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/국토교통부/2021/ooxml-chart-round-010057.hwpx	국토교통부	2021	hwpx	18	19	1	
w2_ooxml_chart_round-010058	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/고용노동부/2021/ooxml-chart-round-010058.hwp	고용노동부	2021	hwp	19	18	1	
w2_ooxml_chart_round-010059	ooxml-chart-round	round	ROUND_OK	samples/wave2/외교부/2021/ooxml-chart-round-010059.hwpx	외교부	2021	hwpx	20	20	1	
w2_ooxml_chart_round-010060	ooxml-chart-round	round	ROUND_OK	samples/wave2/기획재정부/2021/ooxml-chart-round-010060.hwp	기획재정부	2021	hwp	21	21	1	
w2_ooxml_chart_round-010061	ooxml-chart-round	round	ROUND_OK	samples/wave2/공정거래위원회/2021/ooxml-chart-round-010061.hwpx	공정거래위원회	2021	hwpx	22	22	1	
w2_ooxml_chart_round-010062	ooxml-chart-round	round	ROUND_OK	samples/wave2/금융위원회/2021/ooxml-chart-round-010062.hwp	금융위원회	2021	hwp	23	23	1	
w2_ooxml_chart_round-010063	ooxml-chart-round	round	FORMAT_NA	samples/wave2/통계청/2021/ooxml-chart-round-010063.hwpx	통계청	2021	hwpx	24	24	0	
w2_ooxml_chart_round-010064	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/기상청/2021/ooxml-chart-round-010064.hwp	기상청	2021	hwp	25	26	1	
w2_ooxml_chart_round-010065	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/관세청/2021/ooxml-chart-round-010065.hwpx	관세청	2021	hwpx	26	25	1	
w2_ooxml_chart_round-010066	ooxml-chart-round	round	ROUND_OK	samples/wave2/검찰청/2021/ooxml-chart-round-010066.hwp	검찰청	2021	hwp	27	27	1	
w2_ooxml_chart_round-010067	ooxml-chart-round	round	ROUND_OK	samples/wave2/경찰청/2021/ooxml-chart-round-010067.hwpx	경찰청	2021	hwpx	28	28	1	
w2_ooxml_chart_round-010068	ooxml-chart-round	round	ROUND_OK	samples/wave2/소방청/2021/ooxml-chart-round-010068.hwp	소방청	2021	hwp	29	29	1	
w2_ooxml_chart_round-010069	ooxml-chart-round	round	ROUND_OK	samples/wave2/병무청/2021/ooxml-chart-round-010069.hwpx	병무청	2021	hwpx	30	30	1	
w2_ooxml_chart_round-010070	ooxml-chart-round	round	FORMAT_NA	samples/wave2/산림청/2021/ooxml-chart-round-010070.hwp	산림청	2021	hwp	31	31	0	
w2_ooxml_chart_round-010071	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/중소벤처기업부/2021/ooxml-chart-round-010071.hwpx	중소벤처기업부	2021	hwpx	32	33	1	
w2_ooxml_chart_round-010072	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/과학기술정보통신부/2021/ooxml-chart-round-010072.hwp	과학기술정보통신부	2021	hwp	33	32	1	
w2_ooxml_chart_round-010073	ooxml-chart-round	round	ROUND_OK	samples/wave2/문화체육관광부/2021/ooxml-chart-round-010073.hwpx	문화체육관광부	2021	hwpx	34	34	1	
w2_ooxml_chart_round-010074	ooxml-chart-round	round	ROUND_OK	samples/wave2/환경부/2021/ooxml-chart-round-010074.hwp	환경부	2021	hwp	35	35	1	
w2_ooxml_chart_round-010075	ooxml-chart-round	round	ROUND_OK	samples/wave2/해양수산부/2021/ooxml-chart-round-010075.hwpx	해양수산부	2021	hwpx	36	36	1	
w2_ooxml_chart_round-010076	ooxml-chart-round	round	ROUND_OK	samples/wave2/서울특별시/2021/ooxml-chart-round-010076.hwp	서울특별시	2021	hwp	37	37	1	
w2_ooxml_chart_round-010077	ooxml-chart-round	round	FORMAT_NA	samples/wave2/경기도/2021/ooxml-chart-round-010077.hwpx	경기도	2021	hwpx	38	38	0	
w2_ooxml_chart_round-010078	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/부산광역시/2021/ooxml-chart-round-010078.hwp	부산광역시	2021	hwp	39	40	1	
w2_ooxml_chart_round-010079	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/제주특별자치도/2021/ooxml-chart-round-010079.hwpx	제주특별자치도	2021	hwpx	40	39	1	
w2_ooxml_chart_round-010080	ooxml-chart-round	round	ROUND_OK	samples/wave2/법제처/2022/ooxml-chart-round-010080.hwp	법제처	2022	hwp	1	1	1	
w2_ooxml_chart_round-010081	ooxml-chart-round	round	ROUND_OK	samples/wave2/행정안전부/2022/ooxml-chart-round-010081.hwpx	행정안전부	2022	hwpx	2	2	1	
w2_ooxml_chart_round-010082	ooxml-chart-round	round	ROUND_OK	samples/wave2/국세청/2022/ooxml-chart-round-010082.hwp	국세청	2022	hwp	3	3	1	
w2_ooxml_chart_round-010083	ooxml-chart-round	round	ROUND_OK	samples/wave2/대법원/2022/ooxml-chart-round-010083.hwpx	대법원	2022	hwpx	4	4	1	
w2_ooxml_chart_round-010084	ooxml-chart-round	round	FORMAT_NA	samples/wave2/특허청/2022/ooxml-chart-round-010084.hwp	특허청	2022	hwp	5	5	0	
w2_ooxml_chart_round-010085	ooxml-chart-round	round	ROUND_DRIFT	samples/wave2/교육부/2022/ooxml-chart-round-010085.hwpx	교육부	2022	hwpx	6	7	1	
