case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_paint_layer_count-015000	paint-layer-count	count_eq	USAGE	samples/wave2/법제처/2021/paint-layer-count-015000.hwp	법제처	2021	hwp	0	-1		
w2_paint_layer_count-015001	paint-layer-count	count_eq	COUNT_OK	samples/wave2/행정안전부/2021/paint-layer-count-015001.hwpx	행정안전부	2021	hwpx	1	1		
w2_paint_layer_count-015002	paint-layer-count	count_eq	COUNT_OK	samples/wave2/국세청/2021/paint-layer-count-015002.hwp	국세청	2021	hwp	2	2		
w2_paint_layer_count-015003	paint-layer-count	count_eq	COUNT_OK	samples/wave2/대법원/2021/paint-layer-count-015003.hwpx	대법원	2021	hwpx	3	3		
w2_paint_layer_count-015004	paint-layer-count	count_eq	COUNT_OK	samples/wave2/특허청/2021/paint-layer-count-015004.hwp	특허청	2021	hwp	4	4		
w2_paint_layer_count-015005	paint-layer-count	count_eq	COUNT_OK	samples/wave2/교육부/2021/paint-layer-count-015005.hwpx	교육부	2021	hwpx	5	5		
w2_paint_layer_count-015006	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/보건복지부/2021/paint-layer-count-015006.hwp	보건복지부	2021	hwp	6	7		
w2_paint_layer_count-015007	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/국토교통부/2021/paint-layer-count-015007.hwpx	국토교통부	2021	hwpx	7	6		
w2_paint_layer_count-015008	paint-layer-count	count_eq	COUNT_OK	samples/wave2/고용노동부/2021/paint-layer-count-015008.hwp	고용노동부	2021	hwp	8	8		
w2_paint_layer_count-015009	paint-layer-count	count_eq	COUNT_OK	samples/wave2/외교부/2021/paint-layer-count-015009.hwpx	외교부	2021	hwpx	9	9		
w2_paint_layer_count-015010	paint-layer-count	count_eq	COUNT_OK	samples/wave2/기획재정부/2021/paint-layer-count-015010.hwp	기획재정부	2021	hwp	10	10		
w2_paint_layer_count-015011	paint-layer-count	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2021/paint-layer-count-015011.hwpx	공정거래위원회	2021	hwpx	11	11		
w2_paint_layer_count-015012	paint-layer-count	count_eq	COUNT_OK	samples/wave2/금융위원회/2021/paint-layer-count-015012.hwp	금융위원회	2021	hwp	12	12		
w2_paint_layer_count-015013	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/통계청/2021/paint-layer-count-015013.hwpx	통계청	2021	hwpx	13	14		
w2_paint_layer_count-015014	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/기상청/2021/paint-layer-count-015014.hwp	기상청	2021	hwp	14	13		
w2_paint_layer_count-015015	paint-layer-count	count_eq	COUNT_OK	samples/wave2/관세청/2021/paint-layer-count-015015.hwpx	관세청	2021	hwpx	15	15		
w2_paint_layer_count-015016	paint-layer-count	count_eq	COUNT_OK	samples/wave2/검찰청/2021/paint-layer-count-015016.hwp	검찰청	2021	hwp	16	16		
w2_paint_layer_count-015017	paint-layer-count	count_eq	COUNT_OK	samples/wave2/경찰청/2021/paint-layer-count-015017.hwpx	경찰청	2021	hwpx	17	17		
w2_paint_layer_count-015018	paint-layer-count	count_eq	COUNT_OK	samples/wave2/소방청/2021/paint-layer-count-015018.hwp	소방청	2021	hwp	18	18		
w2_paint_layer_count-015019	paint-layer-count	count_eq	COUNT_OK	samples/wave2/병무청/2021/paint-layer-count-015019.hwpx	병무청	2021	hwpx	19	19		
w2_paint_layer_count-015020	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/산림청/2021/paint-layer-count-015020.hwp	산림청	2021	hwp	20	21		
w2_paint_layer_count-015021	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/중소벤처기업부/2021/paint-layer-count-015021.hwpx	중소벤처기업부	2021	hwpx	21	20		
w2_paint_layer_count-015022	paint-layer-count	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2021/paint-layer-count-015022.hwp	과학기술정보통신부	2021	hwp	22	22		
w2_paint_layer_count-015023	paint-layer-count	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2021/paint-layer-count-015023.hwpx	문화체육관광부	2021	hwpx	23	23		
w2_paint_layer_count-015024	paint-layer-count	count_eq	COUNT_OK	samples/wave2/환경부/2021/paint-layer-count-015024.hwp	환경부	2021	hwp	0	0		
w2_paint_layer_count-015025	paint-layer-count	count_eq	COUNT_OK	samples/wave2/해양수산부/2021/paint-layer-count-015025.hwpx	해양수산부	2021	hwpx	1	1		
w2_paint_layer_count-015026	paint-layer-count	count_eq	COUNT_OK	samples/wave2/서울특별시/2021/paint-layer-count-015026.hwp	서울특별시	2021	hwp	2	2		
w2_paint_layer_count-015027	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/경기도/2021/paint-layer-count-015027.hwpx	경기도	2021	hwpx	3	4		
w2_paint_layer_count-015028	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/부산광역시/2021/paint-layer-count-015028.hwp	부산광역시	2021	hwp	4	3		
w2_paint_layer_count-015029	paint-layer-count	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2021/paint-layer-count-015029.hwpx	제주특별자치도	2021	hwpx	5	5		
w2_paint_layer_count-015030	paint-layer-count	count_eq	COUNT_OK	samples/wave2/법제처/2022/paint-layer-count-015030.hwp	법제처	2022	hwp	6	6		
w2_paint_layer_count-015031	paint-layer-count	count_eq	COUNT_OK	samples/wave2/행정안전부/2022/paint-layer-count-015031.hwpx	행정안전부	2022	hwpx	7	7		
w2_paint_layer_count-015032	paint-layer-count	count_eq	COUNT_OK	samples/wave2/국세청/2022/paint-layer-count-015032.hwp	국세청	2022	hwp	8	8		
w2_paint_layer_count-015033	paint-layer-count	count_eq	COUNT_OK	samples/wave2/대법원/2022/paint-layer-count-015033.hwpx	대법원	2022	hwpx	9	9		
w2_paint_layer_count-015034	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/특허청/2022/paint-layer-count-015034.hwp	특허청	2022	hwp	10	11		
w2_paint_layer_count-015035	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/교육부/2022/paint-layer-count-015035.hwpx	교육부	2022	hwpx	11	10		
w2_paint_layer_count-015036	paint-layer-count	count_eq	COUNT_OK	samples/wave2/보건복지부/2022/paint-layer-count-015036.hwp	보건복지부	2022	hwp	12	12		
w2_paint_layer_count-015037	paint-layer-count	count_eq	COUNT_OK	samples/wave2/국토교통부/2022/paint-layer-count-015037.hwpx	국토교통부	2022	hwpx	13	13		
w2_paint_layer_count-015038	paint-layer-count	count_eq	COUNT_OK	samples/wave2/고용노동부/2022/paint-layer-count-015038.hwp	고용노동부	2022	hwp	14	14		
w2_paint_layer_count-015039	paint-layer-count	count_eq	COUNT_OK	samples/wave2/외교부/2022/paint-layer-count-015039.hwpx	외교부	2022	hwpx	15	15		
w2_paint_layer_count-015040	paint-layer-count	count_eq	COUNT_OK	samples/wave2/기획재정부/2022/paint-layer-count-015040.hwp	기획재정부	2022	hwp	16	16		
w2_paint_layer_count-015041	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/공정거래위원회/2022/paint-layer-count-015041.hwpx	공정거래위원회	2022	hwpx	17	18		
w2_paint_layer_count-015042	paint-layer-count	count_eq	COUNT_DRIFT	samples/wave2/금융위원회/2022/paint-layer-count-015042.hwp	금융위원회	2022	hwp	18	17		
