case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_password_open-010000	password-open	avail	AVAIL_RUN	samples/wave2/기획재정부/2019/password-open-010000.hwp	기획재정부	2019	hwp	1	3		
w2_password_open-010001	password-open	avail	FALSE_UNAVAIL	samples/wave2/공정거래위원회/2019/password-open-010001.hwpx	공정거래위원회	2019	hwpx	1	2		
w2_password_open-010002	password-open	avail	EXIT_UNKNOWN	samples/wave2/금융위원회/2019/password-open-010002.hwp	금융위원회	2019	hwp	1	9		
w2_password_open-010003	password-open	avail	UNAVAIL_OK	samples/wave2/통계청/2019/password-open-010003.hwpx	통계청	2019	hwpx	0	2		
w2_password_open-010004	password-open	avail	UNAVAIL_LIE	samples/wave2/기상청/2019/password-open-010004.hwp	기상청	2019	hwp	0	0		
w2_password_open-010005	password-open	avail	UNAVAIL_LIE	samples/wave2/관세청/2019/password-open-010005.hwpx	관세청	2019	hwpx	0	1		
w2_password_open-010006	password-open	avail	AVAIL_RUN	samples/wave2/검찰청/2019/password-open-010006.hwp	검찰청	2019	hwp	1	0		
w2_password_open-010007	password-open	avail	AVAIL_RUN	samples/wave2/경찰청/2019/password-open-010007.hwpx	경찰청	2019	hwpx	1	3		
w2_password_open-010008	password-open	avail	FALSE_UNAVAIL	samples/wave2/소방청/2019/password-open-010008.hwp	소방청	2019	hwp	1	2		
w2_password_open-010009	password-open	avail	EXIT_UNKNOWN	samples/wave2/병무청/2019/password-open-010009.hwpx	병무청	2019	hwpx	1	9		
w2_password_open-010010	password-open	avail	UNAVAIL_OK	samples/wave2/산림청/2019/password-open-010010.hwp	산림청	2019	hwp	0	2		
w2_password_open-010011	password-open	avail	UNAVAIL_LIE	samples/wave2/중소벤처기업부/2019/password-open-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
w2_password_open-010012	password-open	avail	UNAVAIL_LIE	samples/wave2/과학기술정보통신부/2019/password-open-010012.hwp	과학기술정보통신부	2019	hwp	0	1		
w2_password_open-010013	password-open	avail	AVAIL_RUN	samples/wave2/문화체육관광부/2019/password-open-010013.hwpx	문화체육관광부	2019	hwpx	1	0		
w2_password_open-010014	password-open	avail	AVAIL_RUN	samples/wave2/환경부/2019/password-open-010014.hwp	환경부	2019	hwp	1	3		
w2_password_open-010015	password-open	avail	FALSE_UNAVAIL	samples/wave2/해양수산부/2019/password-open-010015.hwpx	해양수산부	2019	hwpx	1	2		
w2_password_open-010016	password-open	avail	EXIT_UNKNOWN	samples/wave2/서울특별시/2019/password-open-010016.hwp	서울특별시	2019	hwp	1	9		
w2_password_open-010017	password-open	avail	UNAVAIL_OK	samples/wave2/경기도/2019/password-open-010017.hwpx	경기도	2019	hwpx	0	2		
w2_password_open-010018	password-open	avail	UNAVAIL_LIE	samples/wave2/부산광역시/2019/password-open-010018.hwp	부산광역시	2019	hwp	0	0		
w2_password_open-010019	password-open	avail	UNAVAIL_LIE	samples/wave2/제주특별자치도/2019/password-open-010019.hwpx	제주특별자치도	2019	hwpx	0	1		
w2_password_open-010020	password-open	avail	AVAIL_RUN	samples/wave2/법제처/2020/password-open-010020.hwp	법제처	2020	hwp	1	0		
w2_password_open-010021	password-open	avail	AVAIL_RUN	samples/wave2/행정안전부/2020/password-open-010021.hwpx	행정안전부	2020	hwpx	1	3		
w2_password_open-010022	password-open	avail	FALSE_UNAVAIL	samples/wave2/국세청/2020/password-open-010022.hwp	국세청	2020	hwp	1	2		
w2_password_open-010023	password-open	avail	EXIT_UNKNOWN	samples/wave2/대법원/2020/password-open-010023.hwpx	대법원	2020	hwpx	1	9		
w2_password_open-010024	password-open	avail	UNAVAIL_OK	samples/wave2/특허청/2020/password-open-010024.hwp	특허청	2020	hwp	0	2		
w2_password_open-010025	password-open	avail	UNAVAIL_LIE	samples/wave2/교육부/2020/password-open-010025.hwpx	교육부	2020	hwpx	0	0		
w2_password_open-010026	password-open	avail	UNAVAIL_LIE	samples/wave2/보건복지부/2020/password-open-010026.hwp	보건복지부	2020	hwp	0	1		
w2_password_open-010027	password-open	avail	AVAIL_RUN	samples/wave2/국토교통부/2020/password-open-010027.hwpx	국토교통부	2020	hwpx	1	0		
w2_password_open-010028	password-open	avail	AVAIL_RUN	samples/wave2/고용노동부/2020/password-open-010028.hwp	고용노동부	2020	hwp	1	3		
w2_password_open-010029	password-open	avail	FALSE_UNAVAIL	samples/wave2/외교부/2020/password-open-010029.hwpx	외교부	2020	hwpx	1	2		
w2_password_open-010030	password-open	avail	EXIT_UNKNOWN	samples/wave2/기획재정부/2020/password-open-010030.hwp	기획재정부	2020	hwp	1	9		
w2_password_open-010031	password-open	avail	UNAVAIL_OK	samples/wave2/공정거래위원회/2020/password-open-010031.hwpx	공정거래위원회	2020	hwpx	0	2		
w2_password_open-010032	password-open	avail	UNAVAIL_LIE	samples/wave2/금융위원회/2020/password-open-010032.hwp	금융위원회	2020	hwp	0	0		
w2_password_open-010033	password-open	avail	UNAVAIL_LIE	samples/wave2/통계청/2020/password-open-010033.hwpx	통계청	2020	hwpx	0	1		
w2_password_open-010034	password-open	avail	AVAIL_RUN	samples/wave2/기상청/2020/password-open-010034.hwp	기상청	2020	hwp	1	0		
w2_password_open-010035	password-open	avail	AVAIL_RUN	samples/wave2/관세청/2020/password-open-010035.hwpx	관세청	2020	hwpx	1	3		
w2_password_open-010036	password-open	avail	FALSE_UNAVAIL	samples/wave2/검찰청/2020/password-open-010036.hwp	검찰청	2020	hwp	1	2		
w2_password_open-010037	password-open	avail	EXIT_UNKNOWN	samples/wave2/경찰청/2020/password-open-010037.hwpx	경찰청	2020	hwpx	1	9		
