case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_plan_step_count-005000	plan-step-count	order	ORDER_OK	samples/wave2/산림청/2017/plan-step-count-005000.hwp	산림청	2017	hwp	7	8		
w2_plan_step_count-005001	plan-step-count	order	ORDER_OK	samples/wave2/중소벤처기업부/2017/plan-step-count-005001.hwpx	중소벤처기업부	2017	hwpx	8	9		
w2_plan_step_count-005002	plan-step-count	order	ORDER_OK	samples/wave2/과학기술정보통신부/2017/plan-step-count-005002.hwp	과학기술정보통신부	2017	hwp	9	10		
w2_plan_step_count-005003	plan-step-count	order	ORDER_GAP	samples/wave2/문화체육관광부/2017/plan-step-count-005003.hwpx	문화체육관광부	2017	hwpx	12	11		
w2_plan_step_count-005004	plan-step-count	order	ORDER_GAP	samples/wave2/환경부/2017/plan-step-count-005004.hwp	환경부	2017	hwp	10	12		
w2_plan_step_count-005005	plan-step-count	order	ORDER_OK	samples/wave2/해양수산부/2017/plan-step-count-005005.hwpx	해양수산부	2017	hwpx	12	13		
w2_plan_step_count-005006	plan-step-count	order	ORDER_OK	samples/wave2/서울특별시/2017/plan-step-count-005006.hwp	서울특별시	2017	hwp	13	14		
w2_plan_step_count-005007	plan-step-count	order	ORDER_OK	samples/wave2/경기도/2017/plan-step-count-005007.hwpx	경기도	2017	hwpx	14	15		
w2_plan_step_count-005008	plan-step-count	order	ORDER_OK	samples/wave2/부산광역시/2017/plan-step-count-005008.hwp	부산광역시	2017	hwp	-1	0		
w2_plan_step_count-005009	plan-step-count	order	ORDER_OK	samples/wave2/제주특별자치도/2017/plan-step-count-005009.hwpx	제주특별자치도	2017	hwpx	0	1		
w2_plan_step_count-005010	plan-step-count	order	ORDER_GAP	samples/wave2/법제처/2018/plan-step-count-005010.hwp	법제처	2018	hwp	3	2		
w2_plan_step_count-005011	plan-step-count	order	ORDER_GAP	samples/wave2/행정안전부/2018/plan-step-count-005011.hwpx	행정안전부	2018	hwpx	1	3		
w2_plan_step_count-005012	plan-step-count	order	ORDER_OK	samples/wave2/국세청/2018/plan-step-count-005012.hwp	국세청	2018	hwp	3	4		
w2_plan_step_count-005013	plan-step-count	order	ORDER_OK	samples/wave2/대법원/2018/plan-step-count-005013.hwpx	대법원	2018	hwpx	4	5		
w2_plan_step_count-005014	plan-step-count	order	ORDER_OK	samples/wave2/특허청/2018/plan-step-count-005014.hwp	특허청	2018	hwp	5	6		
w2_plan_step_count-005015	plan-step-count	order	ORDER_OK	samples/wave2/교육부/2018/plan-step-count-005015.hwpx	교육부	2018	hwpx	6	7		
w2_plan_step_count-005016	plan-step-count	order	ORDER_OK	samples/wave2/보건복지부/2018/plan-step-count-005016.hwp	보건복지부	2018	hwp	7	8		
w2_plan_step_count-005017	plan-step-count	order	ORDER_GAP	samples/wave2/국토교통부/2018/plan-step-count-005017.hwpx	국토교통부	2018	hwpx	10	9		
w2_plan_step_count-005018	plan-step-count	order	ORDER_GAP	samples/wave2/고용노동부/2018/plan-step-count-005018.hwp	고용노동부	2018	hwp	8	10		
w2_plan_step_count-005019	plan-step-count	order	ORDER_OK	samples/wave2/외교부/2018/plan-step-count-005019.hwpx	외교부	2018	hwpx	10	11		
w2_plan_step_count-005020	plan-step-count	order	ORDER_OK	samples/wave2/기획재정부/2018/plan-step-count-005020.hwp	기획재정부	2018	hwp	11	12		
w2_plan_step_count-005021	plan-step-count	order	ORDER_OK	samples/wave2/공정거래위원회/2018/plan-step-count-005021.hwpx	공정거래위원회	2018	hwpx	12	13		
w2_plan_step_count-005022	plan-step-count	order	ORDER_OK	samples/wave2/금융위원회/2018/plan-step-count-005022.hwp	금융위원회	2018	hwp	13	14		
w2_plan_step_count-005023	plan-step-count	order	ORDER_OK	samples/wave2/통계청/2018/plan-step-count-005023.hwpx	통계청	2018	hwpx	14	15		
w2_plan_step_count-005024	plan-step-count	order	ORDER_GAP	samples/wave2/기상청/2018/plan-step-count-005024.hwp	기상청	2018	hwp	1	0		
w2_plan_step_count-005025	plan-step-count	order	ORDER_GAP	samples/wave2/관세청/2018/plan-step-count-005025.hwpx	관세청	2018	hwpx	-1	1		
