case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_recipe_bulk_extract-015000	recipe-bulk-extract	isolate	POISON	samples/wave2/법제처/2021/recipe-bulk-extract-015000.hwp	법제처	2021	hwp	4	3	1	1
w2_recipe_bulk_extract-015001	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/행정안전부/2021/recipe-bulk-extract-015001.hwpx	행정안전부	2021	hwpx	4	4	0	0
w2_recipe_bulk_extract-015002	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/국세청/2021/recipe-bulk-extract-015002.hwp	국세청	2021	hwp	5	5	0	0
w2_recipe_bulk_extract-015003	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/대법원/2021/recipe-bulk-extract-015003.hwpx	대법원	2021	hwpx	6	6	0	0
w2_recipe_bulk_extract-015004	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/특허청/2021/recipe-bulk-extract-015004.hwp	특허청	2021	hwp	7	7	0	0
w2_recipe_bulk_extract-015005	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/교육부/2021/recipe-bulk-extract-015005.hwpx	교육부	2021	hwpx	9	8	1	0
w2_recipe_bulk_extract-015006	recipe-bulk-extract	isolate	COUNT_DRIFT	samples/wave2/보건복지부/2021/recipe-bulk-extract-015006.hwp	보건복지부	2021	hwp	11	9	1	0
w2_recipe_bulk_extract-015007	recipe-bulk-extract	isolate	POISON	samples/wave2/국토교통부/2021/recipe-bulk-extract-015007.hwpx	국토교통부	2021	hwpx	11	10	1	1
w2_recipe_bulk_extract-015008	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/고용노동부/2021/recipe-bulk-extract-015008.hwp	고용노동부	2021	hwp	3	3	0	0
w2_recipe_bulk_extract-015009	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/외교부/2021/recipe-bulk-extract-015009.hwpx	외교부	2021	hwpx	4	4	0	0
w2_recipe_bulk_extract-015010	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/기획재정부/2021/recipe-bulk-extract-015010.hwp	기획재정부	2021	hwp	5	5	0	0
w2_recipe_bulk_extract-015011	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/공정거래위원회/2021/recipe-bulk-extract-015011.hwpx	공정거래위원회	2021	hwpx	6	6	0	0
w2_recipe_bulk_extract-015012	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/금융위원회/2021/recipe-bulk-extract-015012.hwp	금융위원회	2021	hwp	8	7	1	0
w2_recipe_bulk_extract-015013	recipe-bulk-extract	isolate	COUNT_DRIFT	samples/wave2/통계청/2021/recipe-bulk-extract-015013.hwpx	통계청	2021	hwpx	10	8	1	0
w2_recipe_bulk_extract-015014	recipe-bulk-extract	isolate	POISON	samples/wave2/기상청/2021/recipe-bulk-extract-015014.hwp	기상청	2021	hwp	10	9	1	1
w2_recipe_bulk_extract-015015	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/관세청/2021/recipe-bulk-extract-015015.hwpx	관세청	2021	hwpx	10	10	0	0
w2_recipe_bulk_extract-015016	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/검찰청/2021/recipe-bulk-extract-015016.hwp	검찰청	2021	hwp	3	3	0	0
w2_recipe_bulk_extract-015017	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/경찰청/2021/recipe-bulk-extract-015017.hwpx	경찰청	2021	hwpx	4	4	0	0
w2_recipe_bulk_extract-015018	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/소방청/2021/recipe-bulk-extract-015018.hwp	소방청	2021	hwp	5	5	0	0
w2_recipe_bulk_extract-015019	recipe-bulk-extract	isolate	ISOLATED	samples/wave2/병무청/2021/recipe-bulk-extract-015019.hwpx	병무청	2021	hwpx	7	6	1	0
w2_recipe_bulk_extract-015020	recipe-bulk-extract	isolate	COUNT_DRIFT	samples/wave2/산림청/2021/recipe-bulk-extract-015020.hwp	산림청	2021	hwp	9	7	1	0
w2_recipe_bulk_extract-015021	recipe-bulk-extract	isolate	POISON	samples/wave2/중소벤처기업부/2021/recipe-bulk-extract-015021.hwpx	중소벤처기업부	2021	hwpx	9	8	1	1
