case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_recipe_layout_scan-010000	recipe-layout-scan	layout	ANOMALY	samples/wave2/기획재정부/2019/recipe-layout-scan-010000.hwp	기획재정부	2019	hwp	2	2	1	1
w2_recipe_layout_scan-010001	recipe-layout-scan	layout	ANOMALY	samples/wave2/공정거래위원회/2019/recipe-layout-scan-010001.hwpx	공정거래위원회	2019	hwpx	3	3	1	1
w2_recipe_layout_scan-010002	recipe-layout-scan	layout	SIGNAL_LIE	samples/wave2/금융위원회/2019/recipe-layout-scan-010002.hwp	금융위원회	2019	hwp	4	4	1	0
w2_recipe_layout_scan-010003	recipe-layout-scan	layout	CLEAN	samples/wave2/통계청/2019/recipe-layout-scan-010003.hwpx	통계청	2019	hwpx	0	0	0	0
w2_recipe_layout_scan-010004	recipe-layout-scan	layout	CLEAN	samples/wave2/기상청/2019/recipe-layout-scan-010004.hwp	기상청	2019	hwp	0	0	0	0
w2_recipe_layout_scan-010005	recipe-layout-scan	layout	CLEAN	samples/wave2/관세청/2019/recipe-layout-scan-010005.hwpx	관세청	2019	hwpx	0	0	0	0
w2_recipe_layout_scan-010006	recipe-layout-scan	layout	ANOMALY	samples/wave2/검찰청/2019/recipe-layout-scan-010006.hwp	검찰청	2019	hwp	8	0	0	1
w2_recipe_layout_scan-010007	recipe-layout-scan	layout	ANOMALY	samples/wave2/경찰청/2019/recipe-layout-scan-010007.hwpx	경찰청	2019	hwpx	9	9	1	1
w2_recipe_layout_scan-010008	recipe-layout-scan	layout	ANOMALY	samples/wave2/소방청/2019/recipe-layout-scan-010008.hwp	소방청	2019	hwp	1	1	1	1
w2_recipe_layout_scan-010009	recipe-layout-scan	layout	SIGNAL_LIE	samples/wave2/병무청/2019/recipe-layout-scan-010009.hwpx	병무청	2019	hwpx	2	2	1	0
