case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_recipe_send-010000	recipe-send	signal	ANOMALY	samples/wave2/기획재정부/2019/recipe-send-010000.hwp	기획재정부	2019	hwp	2	1		
w2_recipe_send-010001	recipe-send	signal	ANOMALY	samples/wave2/공정거래위원회/2019/recipe-send-010001.hwpx	공정거래위원회	2019	hwpx	3	1		
w2_recipe_send-010002	recipe-send	signal	SIGNAL_LIE	samples/wave2/금융위원회/2019/recipe-send-010002.hwp	금융위원회	2019	hwp	4	0		
w2_recipe_send-010003	recipe-send	signal	CLEAN	samples/wave2/통계청/2019/recipe-send-010003.hwpx	통계청	2019	hwpx	0	0		
w2_recipe_send-010004	recipe-send	signal	CLEAN	samples/wave2/기상청/2019/recipe-send-010004.hwp	기상청	2019	hwp	0	0		
w2_recipe_send-010005	recipe-send	signal	CLEAN	samples/wave2/관세청/2019/recipe-send-010005.hwpx	관세청	2019	hwpx	0	0		
w2_recipe_send-010006	recipe-send	signal	ANOMALY	samples/wave2/검찰청/2019/recipe-send-010006.hwp	검찰청	2019	hwp	8	1		
w2_recipe_send-010007	recipe-send	signal	ANOMALY	samples/wave2/경찰청/2019/recipe-send-010007.hwpx	경찰청	2019	hwpx	9	1		
w2_recipe_send-010008	recipe-send	signal	ANOMALY	samples/wave2/소방청/2019/recipe-send-010008.hwp	소방청	2019	hwp	1	1		
w2_recipe_send-010009	recipe-send	signal	SIGNAL_LIE	samples/wave2/병무청/2019/recipe-send-010009.hwpx	병무청	2019	hwpx	2	0		
w2_recipe_send-010010	recipe-send	signal	CLEAN	samples/wave2/산림청/2019/recipe-send-010010.hwp	산림청	2019	hwp	0	0		
w2_recipe_send-010011	recipe-send	signal	CLEAN	samples/wave2/중소벤처기업부/2019/recipe-send-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
w2_recipe_send-010012	recipe-send	signal	CLEAN	samples/wave2/과학기술정보통신부/2019/recipe-send-010012.hwp	과학기술정보통신부	2019	hwp	0	0		
w2_recipe_send-010013	recipe-send	signal	ANOMALY	samples/wave2/문화체육관광부/2019/recipe-send-010013.hwpx	문화체육관광부	2019	hwpx	6	1		
w2_recipe_send-010014	recipe-send	signal	ANOMALY	samples/wave2/환경부/2019/recipe-send-010014.hwp	환경부	2019	hwp	7	1		
w2_recipe_send-010015	recipe-send	signal	ANOMALY	samples/wave2/해양수산부/2019/recipe-send-010015.hwpx	해양수산부	2019	hwpx	8	1		
w2_recipe_send-010016	recipe-send	signal	SIGNAL_LIE	samples/wave2/서울특별시/2019/recipe-send-010016.hwp	서울특별시	2019	hwp	9	0		
w2_recipe_send-010017	recipe-send	signal	CLEAN	samples/wave2/경기도/2019/recipe-send-010017.hwpx	경기도	2019	hwpx	0	0		
w2_recipe_send-010018	recipe-send	signal	CLEAN	samples/wave2/부산광역시/2019/recipe-send-010018.hwp	부산광역시	2019	hwp	0	0		
w2_recipe_send-010019	recipe-send	signal	CLEAN	samples/wave2/제주특별자치도/2019/recipe-send-010019.hwpx	제주특별자치도	2019	hwpx	0	0		
w2_recipe_send-010020	recipe-send	signal	ANOMALY	samples/wave2/법제처/2020/recipe-send-010020.hwp	법제처	2020	hwp	4	1		
w2_recipe_send-010021	recipe-send	signal	ANOMALY	samples/wave2/행정안전부/2020/recipe-send-010021.hwpx	행정안전부	2020	hwpx	5	1		
w2_recipe_send-010022	recipe-send	signal	ANOMALY	samples/wave2/국세청/2020/recipe-send-010022.hwp	국세청	2020	hwp	6	1		
w2_recipe_send-010023	recipe-send	signal	SIGNAL_LIE	samples/wave2/대법원/2020/recipe-send-010023.hwpx	대법원	2020	hwpx	7	0		
w2_recipe_send-010024	recipe-send	signal	CLEAN	samples/wave2/특허청/2020/recipe-send-010024.hwp	특허청	2020	hwp	0	0		
w2_recipe_send-010025	recipe-send	signal	CLEAN	samples/wave2/교육부/2020/recipe-send-010025.hwpx	교육부	2020	hwpx	0	0		
w2_recipe_send-010026	recipe-send	signal	CLEAN	samples/wave2/보건복지부/2020/recipe-send-010026.hwp	보건복지부	2020	hwp	0	0		
w2_recipe_send-010027	recipe-send	signal	ANOMALY	samples/wave2/국토교통부/2020/recipe-send-010027.hwpx	국토교통부	2020	hwpx	2	1		
w2_recipe_send-010028	recipe-send	signal	ANOMALY	samples/wave2/고용노동부/2020/recipe-send-010028.hwp	고용노동부	2020	hwp	3	1		
w2_recipe_send-010029	recipe-send	signal	ANOMALY	samples/wave2/외교부/2020/recipe-send-010029.hwpx	외교부	2020	hwpx	4	1		
w2_recipe_send-010030	recipe-send	signal	SIGNAL_LIE	samples/wave2/기획재정부/2020/recipe-send-010030.hwp	기획재정부	2020	hwp	5	0		
