case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_studio_export_png-015000	studio-export-png	bytes	EMPTY_OUTPUT	samples/wave2/법제처/2021/studio-export-png-015000.hwp	법제처	2021	hwp	0	1		
w2_studio_export_png-015001	studio-export-png	bytes	BYTES_OK	samples/wave2/행정안전부/2021/studio-export-png-015001.hwpx	행정안전부	2021	hwpx	13	0		
w2_studio_export_png-015002	studio-export-png	bytes	BYTES_OK	samples/wave2/국세청/2021/studio-export-png-015002.hwp	국세청	2021	hwp	14	0		
w2_studio_export_png-015003	studio-export-png	bytes	BYTES_OK	samples/wave2/대법원/2021/studio-export-png-015003.hwpx	대법원	2021	hwpx	15	0		
w2_studio_export_png-015004	studio-export-png	bytes	BYTES_OK	samples/wave2/특허청/2021/studio-export-png-015004.hwp	특허청	2021	hwp	16	0		
w2_studio_export_png-015005	studio-export-png	bytes	BYTES_OK	samples/wave2/교육부/2021/studio-export-png-015005.hwpx	교육부	2021	hwpx	17	0		
w2_studio_export_png-015006	studio-export-png	bytes	ZERO_BYTES	samples/wave2/보건복지부/2021/studio-export-png-015006.hwp	보건복지부	2021	hwp	0	0		
w2_studio_export_png-015007	studio-export-png	bytes	EMPTY_OUTPUT	samples/wave2/국토교통부/2021/studio-export-png-015007.hwpx	국토교통부	2021	hwpx	0	1		
w2_studio_export_png-015008	studio-export-png	bytes	BYTES_OK	samples/wave2/고용노동부/2021/studio-export-png-015008.hwp	고용노동부	2021	hwp	20	0		
w2_studio_export_png-015009	studio-export-png	bytes	BYTES_OK	samples/wave2/외교부/2021/studio-export-png-015009.hwpx	외교부	2021	hwpx	21	0		
w2_studio_export_png-015010	studio-export-png	bytes	BYTES_OK	samples/wave2/기획재정부/2021/studio-export-png-015010.hwp	기획재정부	2021	hwp	22	0		
w2_studio_export_png-015011	studio-export-png	bytes	BYTES_OK	samples/wave2/공정거래위원회/2021/studio-export-png-015011.hwpx	공정거래위원회	2021	hwpx	23	0		
w2_studio_export_png-015012	studio-export-png	bytes	BYTES_OK	samples/wave2/금융위원회/2021/studio-export-png-015012.hwp	금융위원회	2021	hwp	24	0		
w2_studio_export_png-015013	studio-export-png	bytes	ZERO_BYTES	samples/wave2/통계청/2021/studio-export-png-015013.hwpx	통계청	2021	hwpx	0	0		
w2_studio_export_png-015014	studio-export-png	bytes	EMPTY_OUTPUT	samples/wave2/기상청/2021/studio-export-png-015014.hwp	기상청	2021	hwp	0	1		
w2_studio_export_png-015015	studio-export-png	bytes	BYTES_OK	samples/wave2/관세청/2021/studio-export-png-015015.hwpx	관세청	2021	hwpx	27	0		
w2_studio_export_png-015016	studio-export-png	bytes	BYTES_OK	samples/wave2/검찰청/2021/studio-export-png-015016.hwp	검찰청	2021	hwp	28	0		
w2_studio_export_png-015017	studio-export-png	bytes	BYTES_OK	samples/wave2/경찰청/2021/studio-export-png-015017.hwpx	경찰청	2021	hwpx	29	0		
w2_studio_export_png-015018	studio-export-png	bytes	BYTES_OK	samples/wave2/소방청/2021/studio-export-png-015018.hwp	소방청	2021	hwp	30	0		
w2_studio_export_png-015019	studio-export-png	bytes	BYTES_OK	samples/wave2/병무청/2021/studio-export-png-015019.hwpx	병무청	2021	hwpx	31	0		
w2_studio_export_png-015020	studio-export-png	bytes	ZERO_BYTES	samples/wave2/산림청/2021/studio-export-png-015020.hwp	산림청	2021	hwp	0	0		
w2_studio_export_png-015021	studio-export-png	bytes	EMPTY_OUTPUT	samples/wave2/중소벤처기업부/2021/studio-export-png-015021.hwpx	중소벤처기업부	2021	hwpx	0	1		
w2_studio_export_png-015022	studio-export-png	bytes	BYTES_OK	samples/wave2/과학기술정보통신부/2021/studio-export-png-015022.hwp	과학기술정보통신부	2021	hwp	34	0		
w2_studio_export_png-015023	studio-export-png	bytes	BYTES_OK	samples/wave2/문화체육관광부/2021/studio-export-png-015023.hwpx	문화체육관광부	2021	hwpx	35	0		
w2_studio_export_png-015024	studio-export-png	bytes	BYTES_OK	samples/wave2/환경부/2021/studio-export-png-015024.hwp	환경부	2021	hwp	36	0		
w2_studio_export_png-015025	studio-export-png	bytes	BYTES_OK	samples/wave2/해양수산부/2021/studio-export-png-015025.hwpx	해양수산부	2021	hwpx	37	0		
w2_studio_export_png-015026	studio-export-png	bytes	BYTES_OK	samples/wave2/서울특별시/2021/studio-export-png-015026.hwp	서울특별시	2021	hwp	38	0		
w2_studio_export_png-015027	studio-export-png	bytes	ZERO_BYTES	samples/wave2/경기도/2021/studio-export-png-015027.hwpx	경기도	2021	hwpx	0	0		
w2_studio_export_png-015028	studio-export-png	bytes	EMPTY_OUTPUT	samples/wave2/부산광역시/2021/studio-export-png-015028.hwp	부산광역시	2021	hwp	0	1		
w2_studio_export_png-015029	studio-export-png	bytes	BYTES_OK	samples/wave2/제주특별자치도/2021/studio-export-png-015029.hwpx	제주특별자치도	2021	hwpx	41	0		
w2_studio_export_png-015030	studio-export-png	bytes	BYTES_OK	samples/wave2/법제처/2022/studio-export-png-015030.hwp	법제처	2022	hwp	42	0		
w2_studio_export_png-015031	studio-export-png	bytes	BYTES_OK	samples/wave2/행정안전부/2022/studio-export-png-015031.hwpx	행정안전부	2022	hwpx	43	0		
w2_studio_export_png-015032	studio-export-png	bytes	BYTES_OK	samples/wave2/국세청/2022/studio-export-png-015032.hwp	국세청	2022	hwp	44	0		
w2_studio_export_png-015033	studio-export-png	bytes	BYTES_OK	samples/wave2/대법원/2022/studio-export-png-015033.hwpx	대법원	2022	hwpx	45	0		
w2_studio_export_png-015034	studio-export-png	bytes	ZERO_BYTES	samples/wave2/특허청/2022/studio-export-png-015034.hwp	특허청	2022	hwp	0	0		
w2_studio_export_png-015035	studio-export-png	bytes	EMPTY_OUTPUT	samples/wave2/교육부/2022/studio-export-png-015035.hwpx	교육부	2022	hwpx	0	1		
w2_studio_export_png-015036	studio-export-png	bytes	BYTES_OK	samples/wave2/보건복지부/2022/studio-export-png-015036.hwp	보건복지부	2022	hwp	48	0		
w2_studio_export_png-015037	studio-export-png	bytes	BYTES_OK	samples/wave2/국토교통부/2022/studio-export-png-015037.hwpx	국토교통부	2022	hwpx	49	0		
w2_studio_export_png-015038	studio-export-png	bytes	BYTES_OK	samples/wave2/고용노동부/2022/studio-export-png-015038.hwp	고용노동부	2022	hwp	50	0		
w2_studio_export_png-015039	studio-export-png	bytes	BYTES_OK	samples/wave2/외교부/2022/studio-export-png-015039.hwpx	외교부	2022	hwpx	51	0		
w2_studio_export_png-015040	studio-export-png	bytes	BYTES_OK	samples/wave2/기획재정부/2022/studio-export-png-015040.hwp	기획재정부	2022	hwp	52	0		
w2_studio_export_png-015041	studio-export-png	bytes	ZERO_BYTES	samples/wave2/공정거래위원회/2022/studio-export-png-015041.hwpx	공정거래위원회	2022	hwpx	0	0		
w2_studio_export_png-015042	studio-export-png	bytes	EMPTY_OUTPUT	samples/wave2/금융위원회/2022/studio-export-png-015042.hwp	금융위원회	2022	hwp	0	1		
w2_studio_export_png-015043	studio-export-png	bytes	BYTES_OK	samples/wave2/통계청/2022/studio-export-png-015043.hwpx	통계청	2022	hwpx	55	0		
w2_studio_export_png-015044	studio-export-png	bytes	BYTES_OK	samples/wave2/기상청/2022/studio-export-png-015044.hwp	기상청	2022	hwp	56	0		
w2_studio_export_png-015045	studio-export-png	bytes	BYTES_OK	samples/wave2/관세청/2022/studio-export-png-015045.hwpx	관세청	2022	hwpx	57	0		
w2_studio_export_png-015046	studio-export-png	bytes	BYTES_OK	samples/wave2/검찰청/2022/studio-export-png-015046.hwp	검찰청	2022	hwp	58	0		
w2_studio_export_png-015047	studio-export-png	bytes	BYTES_OK	samples/wave2/경찰청/2022/studio-export-png-015047.hwpx	경찰청	2022	hwpx	59	0		
w2_studio_export_png-015048	studio-export-png	bytes	ZERO_BYTES	samples/wave2/소방청/2022/studio-export-png-015048.hwp	소방청	2022	hwp	0	0		
