case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_vscode_preview-005000	vscode-preview	bytes	BYTES_OK	samples/wave2/산림청/2017/vscode-preview-005000.hwp	산림청	2017	hwp	12	0		
w2_vscode_preview-005001	vscode-preview	bytes	BYTES_OK	samples/wave2/중소벤처기업부/2017/vscode-preview-005001.hwpx	중소벤처기업부	2017	hwpx	13	0		
w2_vscode_preview-005002	vscode-preview	bytes	BYTES_OK	samples/wave2/과학기술정보통신부/2017/vscode-preview-005002.hwp	과학기술정보통신부	2017	hwp	14	0		
w2_vscode_preview-005003	vscode-preview	bytes	ZERO_BYTES	samples/wave2/문화체육관광부/2017/vscode-preview-005003.hwpx	문화체육관광부	2017	hwpx	0	0		
w2_vscode_preview-005004	vscode-preview	bytes	EMPTY_OUTPUT	samples/wave2/환경부/2017/vscode-preview-005004.hwp	환경부	2017	hwp	0	1		
w2_vscode_preview-005005	vscode-preview	bytes	BYTES_OK	samples/wave2/해양수산부/2017/vscode-preview-005005.hwpx	해양수산부	2017	hwpx	17	0		
w2_vscode_preview-005006	vscode-preview	bytes	BYTES_OK	samples/wave2/서울특별시/2017/vscode-preview-005006.hwp	서울특별시	2017	hwp	18	0		
w2_vscode_preview-005007	vscode-preview	bytes	BYTES_OK	samples/wave2/경기도/2017/vscode-preview-005007.hwpx	경기도	2017	hwpx	19	0		
w2_vscode_preview-005008	vscode-preview	bytes	BYTES_OK	samples/wave2/부산광역시/2017/vscode-preview-005008.hwp	부산광역시	2017	hwp	20	0		
w2_vscode_preview-005009	vscode-preview	bytes	BYTES_OK	samples/wave2/제주특별자치도/2017/vscode-preview-005009.hwpx	제주특별자치도	2017	hwpx	21	0		
w2_vscode_preview-005010	vscode-preview	bytes	ZERO_BYTES	samples/wave2/법제처/2018/vscode-preview-005010.hwp	법제처	2018	hwp	0	0		
w2_vscode_preview-005011	vscode-preview	bytes	EMPTY_OUTPUT	samples/wave2/행정안전부/2018/vscode-preview-005011.hwpx	행정안전부	2018	hwpx	0	1		
w2_vscode_preview-005012	vscode-preview	bytes	BYTES_OK	samples/wave2/국세청/2018/vscode-preview-005012.hwp	국세청	2018	hwp	24	0		
w2_vscode_preview-005013	vscode-preview	bytes	BYTES_OK	samples/wave2/대법원/2018/vscode-preview-005013.hwpx	대법원	2018	hwpx	25	0		
w2_vscode_preview-005014	vscode-preview	bytes	BYTES_OK	samples/wave2/특허청/2018/vscode-preview-005014.hwp	특허청	2018	hwp	26	0		
w2_vscode_preview-005015	vscode-preview	bytes	BYTES_OK	samples/wave2/교육부/2018/vscode-preview-005015.hwpx	교육부	2018	hwpx	27	0		
w2_vscode_preview-005016	vscode-preview	bytes	BYTES_OK	samples/wave2/보건복지부/2018/vscode-preview-005016.hwp	보건복지부	2018	hwp	28	0		
w2_vscode_preview-005017	vscode-preview	bytes	ZERO_BYTES	samples/wave2/국토교통부/2018/vscode-preview-005017.hwpx	국토교통부	2018	hwpx	0	0		
w2_vscode_preview-005018	vscode-preview	bytes	EMPTY_OUTPUT	samples/wave2/고용노동부/2018/vscode-preview-005018.hwp	고용노동부	2018	hwp	0	1		
w2_vscode_preview-005019	vscode-preview	bytes	BYTES_OK	samples/wave2/외교부/2018/vscode-preview-005019.hwpx	외교부	2018	hwpx	31	0		
