case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_word_count_page_sum-010000	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/기획재정부/2019/word-count-page-sum-010000.hwp	기획재정부	2019	hwp	16	16		
w2_word_count_page_sum-010001	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/공정거래위원회/2019/word-count-page-sum-010001.hwpx	공정거래위원회	2019	hwpx	17	18		
w2_word_count_page_sum-010002	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/금융위원회/2019/word-count-page-sum-010002.hwp	금융위원회	2019	hwp	18	17		
w2_word_count_page_sum-010003	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/통계청/2019/word-count-page-sum-010003.hwpx	통계청	2019	hwpx	19	19		
w2_word_count_page_sum-010004	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/기상청/2019/word-count-page-sum-010004.hwp	기상청	2019	hwp	20	20		
w2_word_count_page_sum-010005	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/관세청/2019/word-count-page-sum-010005.hwpx	관세청	2019	hwpx	21	21		
w2_word_count_page_sum-010006	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/검찰청/2019/word-count-page-sum-010006.hwp	검찰청	2019	hwp	22	22		
w2_word_count_page_sum-010007	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/경찰청/2019/word-count-page-sum-010007.hwpx	경찰청	2019	hwpx	23	23		
w2_word_count_page_sum-010008	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/소방청/2019/word-count-page-sum-010008.hwp	소방청	2019	hwp	0	1		
w2_word_count_page_sum-010009	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/병무청/2019/word-count-page-sum-010009.hwpx	병무청	2019	hwpx	1	0		
w2_word_count_page_sum-010010	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/산림청/2019/word-count-page-sum-010010.hwp	산림청	2019	hwp	2	2		
w2_word_count_page_sum-010011	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2019/word-count-page-sum-010011.hwpx	중소벤처기업부	2019	hwpx	3	3		
w2_word_count_page_sum-010012	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2019/word-count-page-sum-010012.hwp	과학기술정보통신부	2019	hwp	4	4		
w2_word_count_page_sum-010013	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2019/word-count-page-sum-010013.hwpx	문화체육관광부	2019	hwpx	5	5		
w2_word_count_page_sum-010014	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/환경부/2019/word-count-page-sum-010014.hwp	환경부	2019	hwp	6	6		
w2_word_count_page_sum-010015	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/해양수산부/2019/word-count-page-sum-010015.hwpx	해양수산부	2019	hwpx	7	8		
w2_word_count_page_sum-010016	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/서울특별시/2019/word-count-page-sum-010016.hwp	서울특별시	2019	hwp	8	7		
w2_word_count_page_sum-010017	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/경기도/2019/word-count-page-sum-010017.hwpx	경기도	2019	hwpx	9	9		
w2_word_count_page_sum-010018	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/부산광역시/2019/word-count-page-sum-010018.hwp	부산광역시	2019	hwp	10	10		
w2_word_count_page_sum-010019	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2019/word-count-page-sum-010019.hwpx	제주특별자치도	2019	hwpx	11	11		
w2_word_count_page_sum-010020	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/법제처/2020/word-count-page-sum-010020.hwp	법제처	2020	hwp	12	12		
w2_word_count_page_sum-010021	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/행정안전부/2020/word-count-page-sum-010021.hwpx	행정안전부	2020	hwpx	13	13		
w2_word_count_page_sum-010022	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/국세청/2020/word-count-page-sum-010022.hwp	국세청	2020	hwp	14	15		
w2_word_count_page_sum-010023	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/대법원/2020/word-count-page-sum-010023.hwpx	대법원	2020	hwpx	15	14		
w2_word_count_page_sum-010024	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/특허청/2020/word-count-page-sum-010024.hwp	특허청	2020	hwp	16	16		
w2_word_count_page_sum-010025	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/교육부/2020/word-count-page-sum-010025.hwpx	교육부	2020	hwpx	17	17		
w2_word_count_page_sum-010026	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/보건복지부/2020/word-count-page-sum-010026.hwp	보건복지부	2020	hwp	18	18		
w2_word_count_page_sum-010027	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/국토교통부/2020/word-count-page-sum-010027.hwpx	국토교통부	2020	hwpx	19	19		
w2_word_count_page_sum-010028	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/고용노동부/2020/word-count-page-sum-010028.hwp	고용노동부	2020	hwp	20	20		
w2_word_count_page_sum-010029	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/외교부/2020/word-count-page-sum-010029.hwpx	외교부	2020	hwpx	21	22		
w2_word_count_page_sum-010030	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/기획재정부/2020/word-count-page-sum-010030.hwp	기획재정부	2020	hwp	22	21		
w2_word_count_page_sum-010031	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2020/word-count-page-sum-010031.hwpx	공정거래위원회	2020	hwpx	23	23		
w2_word_count_page_sum-010032	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/금융위원회/2020/word-count-page-sum-010032.hwp	금융위원회	2020	hwp	0	0		
w2_word_count_page_sum-010033	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/통계청/2020/word-count-page-sum-010033.hwpx	통계청	2020	hwpx	1	1		
w2_word_count_page_sum-010034	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/기상청/2020/word-count-page-sum-010034.hwp	기상청	2020	hwp	2	2		
w2_word_count_page_sum-010035	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/관세청/2020/word-count-page-sum-010035.hwpx	관세청	2020	hwpx	3	3		
w2_word_count_page_sum-010036	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/검찰청/2020/word-count-page-sum-010036.hwp	검찰청	2020	hwp	4	5		
w2_word_count_page_sum-010037	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/경찰청/2020/word-count-page-sum-010037.hwpx	경찰청	2020	hwpx	5	4		
w2_word_count_page_sum-010038	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/소방청/2020/word-count-page-sum-010038.hwp	소방청	2020	hwp	6	6		
w2_word_count_page_sum-010039	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/병무청/2020/word-count-page-sum-010039.hwpx	병무청	2020	hwpx	7	7		
w2_word_count_page_sum-010040	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/산림청/2020/word-count-page-sum-010040.hwp	산림청	2020	hwp	8	8		
w2_word_count_page_sum-010041	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2020/word-count-page-sum-010041.hwpx	중소벤처기업부	2020	hwpx	9	9		
w2_word_count_page_sum-010042	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2020/word-count-page-sum-010042.hwp	과학기술정보통신부	2020	hwp	10	10		
w2_word_count_page_sum-010043	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/문화체육관광부/2020/word-count-page-sum-010043.hwpx	문화체육관광부	2020	hwpx	11	12		
w2_word_count_page_sum-010044	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/환경부/2020/word-count-page-sum-010044.hwp	환경부	2020	hwp	12	11		
w2_word_count_page_sum-010045	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/해양수산부/2020/word-count-page-sum-010045.hwpx	해양수산부	2020	hwpx	13	13		
w2_word_count_page_sum-010046	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/서울특별시/2020/word-count-page-sum-010046.hwp	서울특별시	2020	hwp	14	14		
w2_word_count_page_sum-010047	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/경기도/2020/word-count-page-sum-010047.hwpx	경기도	2020	hwpx	15	15		
w2_word_count_page_sum-010048	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/부산광역시/2020/word-count-page-sum-010048.hwp	부산광역시	2020	hwp	16	16		
w2_word_count_page_sum-010049	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2020/word-count-page-sum-010049.hwpx	제주특별자치도	2020	hwpx	17	17		
w2_word_count_page_sum-010050	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/법제처/2021/word-count-page-sum-010050.hwp	법제처	2021	hwp	18	19		
w2_word_count_page_sum-010051	word-count-page-sum	count_eq	COUNT_DRIFT	samples/wave2/행정안전부/2021/word-count-page-sum-010051.hwpx	행정안전부	2021	hwpx	19	18		
w2_word_count_page_sum-010052	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/국세청/2021/word-count-page-sum-010052.hwp	국세청	2021	hwp	20	20		
w2_word_count_page_sum-010053	word-count-page-sum	count_eq	COUNT_OK	samples/wave2/대법원/2021/word-count-page-sum-010053.hwpx	대법원	2021	hwpx	21	21		
