id	sample	pdf	stem	hancomVersion	variant	sourceFormat	oracleRoot	family
samples/2010-01-06.hwp::pdf/2010-01-06-2022.pdf	samples/2010-01-06.hwp	pdf/2010-01-06-2022.pdf	2010-01-06	2022	2022	hwp	pdf	other
samples/2010-01-06.hwp::pdf/2010-01-06-hwp-2020.pdf	samples/2010-01-06.hwp	pdf/2010-01-06-hwp-2020.pdf	2010-01-06	2020	hwp-2020	hwp	pdf	other
samples/2022년 국립국어원 업무계획.hwp::pdf/2022년 국립국어원 업무계획-2022.pdf	samples/2022년 국립국어원 업무계획.hwp	pdf/2022년 국립국어원 업무계획-2022.pdf	2022년 국립국어원 업무계획	2022	2022	hwp	pdf	admin
samples/2022년 국립국어원 업무계획.hwp::pdf/2022년 국립국어원 업무계획-hwp-2020.pdf	samples/2022년 국립국어원 업무계획.hwp	pdf/2022년 국립국어원 업무계획-hwp-2020.pdf	2022년 국립국어원 업무계획	2020	hwp-2020	hwp	pdf	admin
samples/2025 행정업무운영 편람(최종).hwp::pdf/2025 행정업무운영 편람(최종)-2024.pdf	samples/2025 행정업무운영 편람(최종).hwp	pdf/2025 행정업무운영 편람(최종)-2024.pdf	2025 행정업무운영 편람(최종)	2024	2024	hwp	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwp::pdf/2025 행정업무운영 편람(최종)-hwp-2024.pdf	samples/2025 행정업무운영 편람(최종).hwp	pdf/2025 행정업무운영 편람(최종)-hwp-2024.pdf	2025 행정업무운영 편람(최종)	2024	hwp-2024	hwp	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwp::pdf/2025 행정업무운영 편람(최종)-2020-kopub.pdf	samples/2025 행정업무운영 편람(최종).hwp	pdf/2025 행정업무운영 편람(최종)-2020-kopub.pdf	2025 행정업무운영 편람(최종)	2020	2020-kopub	hwp	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwp::pdf/2025 행정업무운영 편람(최종)-hwp-2020.pdf	samples/2025 행정업무운영 편람(최종).hwp	pdf/2025 행정업무운영 편람(최종)-hwp-2020.pdf	2025 행정업무운영 편람(최종)	2020	hwp-2020	hwp	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwp::pdf/2025 행정업무운영 편람(최종)-hwp-kopub-2020.pdf	samples/2025 행정업무운영 편람(최종).hwp	pdf/2025 행정업무운영 편람(최종)-hwp-kopub-2020.pdf	2025 행정업무운영 편람(최종)	2020	hwp-kopub-2020	hwp	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwpx::pdf/2025 행정업무운영 편람(최종)-2024.pdf	samples/2025 행정업무운영 편람(최종).hwpx	pdf/2025 행정업무운영 편람(최종)-2024.pdf	2025 행정업무운영 편람(최종)	2024	2024	hwpx	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwpx::pdf/2025 행정업무운영 편람(최종)-hwpx-2024.pdf	samples/2025 행정업무운영 편람(최종).hwpx	pdf/2025 행정업무운영 편람(최종)-hwpx-2024.pdf	2025 행정업무운영 편람(최종)	2024	hwpx-2024	hwpx	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwpx::pdf/2025 행정업무운영 편람(최종)-2020-kopub.pdf	samples/2025 행정업무운영 편람(최종).hwpx	pdf/2025 행정업무운영 편람(최종)-2020-kopub.pdf	2025 행정업무운영 편람(최종)	2020	2020-kopub	hwpx	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwpx::pdf/2025 행정업무운영 편람(최종)-hwpx-2020.pdf	samples/2025 행정업무운영 편람(최종).hwpx	pdf/2025 행정업무운영 편람(최종)-hwpx-2020.pdf	2025 행정업무운영 편람(최종)	2020	hwpx-2020	hwpx	pdf	handbook
samples/2025 행정업무운영 편람(최종).hwpx::pdf/2025 행정업무운영 편람(최종)-hwpx-kopub-2020.pdf	samples/2025 행정업무운영 편람(최종).hwpx	pdf/2025 행정업무운영 편람(최종)-hwpx-kopub-2020.pdf	2025 행정업무운영 편람(최종)	2020	hwpx-kopub-2020	hwpx	pdf	handbook
samples/20250130-hongbo.hwp::pdf/20250130-hongbo-2022.pdf	samples/20250130-hongbo.hwp	pdf/20250130-hongbo-2022.pdf	20250130-hongbo	2022	2022	hwp	pdf	other
samples/20250130-hongbo.hwp::pdf/20250130-hongbo-hwp-2020.pdf	samples/20250130-hongbo.hwp	pdf/20250130-hongbo-hwp-2020.pdf	20250130-hongbo	2020	hwp-2020	hwp	pdf	other
samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx::pdf/2025년 기부·답례품 실적 지자체 보고서_양식-2022.pdf	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	pdf/2025년 기부·답례품 실적 지자체 보고서_양식-2022.pdf	2025년 기부·답례품 실적 지자체 보고서_양식	2022	2022	hwpx	pdf	other
samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx::pdf/2025년 기부·답례품 실적 지자체 보고서_양식-hwpx-2020.pdf	samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	pdf/2025년 기부·답례품 실적 지자체 보고서_양식-hwpx-2020.pdf	2025년 기부·답례품 실적 지자체 보고서_양식	2020	hwpx-2020	hwpx	pdf	other
samples/21_언어_기출_편집가능본.hwp::pdf/21_언어_기출_편집가능본-2022.pdf	samples/21_언어_기출_편집가능본.hwp	pdf/21_언어_기출_편집가능본-2022.pdf	21_언어_기출_편집가능본	2022	2022	hwp	pdf	other
samples/21_언어_기출_편집가능본.hwp::pdf/21_언어_기출_편집가능본-hwp-2020.pdf	samples/21_언어_기출_편집가능본.hwp	pdf/21_언어_기출_편집가능본-hwp-2020.pdf	21_언어_기출_편집가능본	2020	hwp-2020	hwp	pdf	other
samples/3-09월_교육_통합_2022.hwp::pdf/3-09월_교육_통합_2022.pdf	samples/3-09월_교육_통합_2022.hwp	pdf/3-09월_교육_통합_2022.pdf	3-09월_교육_통합_2022	2022	exact	hwp	pdf	education
samples/3-09월_교육_통합_2022.hwp::pdf/3-09월_교육_통합_2022-hwp-2020.pdf	samples/3-09월_교육_통합_2022.hwp	pdf/3-09월_교육_통합_2022-hwp-2020.pdf	3-09월_교육_통합_2022	2020	hwp-2020	hwp	pdf	education
samples/3-09월_교육_통합_2022.hwpx::pdf/3-09월_교육_통합_2022-hwpx-2024.pdf	samples/3-09월_교육_통합_2022.hwpx	pdf/3-09월_교육_통합_2022-hwpx-2024.pdf	3-09월_교육_통합_2022	2024	hwpx-2024	hwpx	pdf	education
samples/3-09월_교육_통합_2022.hwpx::pdf/3-09월_교육_통합_2022.pdf	samples/3-09월_교육_통합_2022.hwpx	pdf/3-09월_교육_통합_2022.pdf	3-09월_교육_통합_2022	2022	exact	hwpx	pdf	education
samples/3-09월_교육_통합_2023.hwp::pdf/3-09월_교육_통합_2023-hwp-2020.pdf	samples/3-09월_교육_통합_2023.hwp	pdf/3-09월_교육_통합_2023-hwp-2020.pdf	3-09월_교육_통합_2023	2020	hwp-2020	hwp	pdf	education
samples/3-09월_교육_통합_2023.hwpx::pdf/3-09월_교육_통합_2023-hwpx-2024.pdf	samples/3-09월_교육_통합_2023.hwpx	pdf/3-09월_교육_통합_2023-hwpx-2024.pdf	3-09월_교육_통합_2023	2024	hwpx-2024	hwpx	pdf	education
samples/3-09월_교육_통합_2024-구분선아래20.hwp::pdf/3-09월_교육_통합_2024-구분선아래20-2024.pdf	samples/3-09월_교육_통합_2024-구분선아래20.hwp	pdf/3-09월_교육_통합_2024-구분선아래20-2024.pdf	3-09월_교육_통합_2024-구분선아래20	2024	2024	hwp	pdf	education
samples/3-09월_교육_통합_2024-구분선아래20.hwp::pdf/3-09월_교육_통합_2024-구분선아래20-hwp-2024.pdf	samples/3-09월_교육_통합_2024-구분선아래20.hwp	pdf/3-09월_교육_통합_2024-구분선아래20-hwp-2024.pdf	3-09월_교육_통합_2024-구분선아래20	2024	hwp-2024	hwp	pdf	education
samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwp::pdf/3-09월_교육_통합_2024-구분선아래20구분선위20.pdf	samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwp	pdf/3-09월_교육_통합_2024-구분선아래20구분선위20.pdf	3-09월_교육_통합_2024-구분선아래20구분선위20	2024	exact	hwp	pdf	education
samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwp::pdf/3-09월_교육_통합_2024-구분선아래20구분선위20-hwp-2024.pdf	samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwp	pdf/3-09월_교육_통합_2024-구분선아래20구분선위20-hwp-2024.pdf	3-09월_교육_통합_2024-구분선아래20구분선위20	2024	hwp-2024	hwp	pdf	education
samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwpx::pdf/3-09월_교육_통합_2024-구분선아래20구분선위20.pdf	samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwpx	pdf/3-09월_교육_통합_2024-구분선아래20구분선위20.pdf	3-09월_교육_통합_2024-구분선아래20구분선위20	2024	exact	hwpx	pdf	education
samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwpx::pdf/3-09월_교육_통합_2024-구분선아래20구분선위20-hwpx-2024.pdf	samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwpx	pdf/3-09월_교육_통합_2024-구분선아래20구분선위20-hwpx-2024.pdf	3-09월_교육_통합_2024-구분선아래20구분선위20	2024	hwpx-2024	hwpx	pdf	education
samples/3-09월_교육_통합_2024-미주사이20.hwp::pdf/3-09월_교육_통합_2024-미주사이20-2024.pdf	samples/3-09월_교육_통합_2024-미주사이20.hwp	pdf/3-09월_교육_통합_2024-미주사이20-2024.pdf	3-09월_교육_통합_2024-미주사이20	2024	2024	hwp	pdf	footnote
samples/3-09월_교육_통합_2024-미주사이20.hwp::pdf/3-09월_교육_통합_2024-미주사이20-hwp-2024.pdf	samples/3-09월_교육_통합_2024-미주사이20.hwp	pdf/3-09월_교육_통합_2024-미주사이20-hwp-2024.pdf	3-09월_교육_통합_2024-미주사이20	2024	hwp-2024	hwp	pdf	footnote
samples/3-10월_교육_통합_2022.hwp::pdf/3-10월_교육_통합_2022.pdf	samples/3-10월_교육_통합_2022.hwp	pdf/3-10월_교육_통합_2022.pdf	3-10월_교육_통합_2022	2022	exact	hwp	pdf	education
samples/3-10월_교육_통합_2022.hwp::pdf/3-10월_교육_통합_2022-hwp-2020.pdf	samples/3-10월_교육_통합_2022.hwp	pdf/3-10월_교육_통합_2022-hwp-2020.pdf	3-10월_교육_통합_2022	2020	hwp-2020	hwp	pdf	education
samples/3-10월_교육_통합_2022.hwpx::pdf/3-10월_교육_통합_2022-hwpx-2024.pdf	samples/3-10월_교육_통합_2022.hwpx	pdf/3-10월_교육_통합_2022-hwpx-2024.pdf	3-10월_교육_통합_2022	2024	hwpx-2024	hwpx	pdf	education
